,name,male,origin,isMarried,isNoble,popularity,isAlive,season,episode,deaths,episode_num
48,Wex Pyke,1,House Greyjoy,0,0,0.113712374581939,1,0,,,0
49,Timett,1,Outlaw,0,1,0.0735785953177257,1,0,,,0
50,Joffrey Baratheon,1,House Baratheon,0,0,1.0,0,8,The Iron Throne,King/Prince Joffrey I Baratheon - 11 (Deceased),72
51,Laenor Velaryon,1,Foreign Noble,1,1,0.193979933110367,0,3,Valar Dohaeris,Wight - Burned alive by Lord Commander Jeor Mormont with a torch.,21
52,Leobald Tallhart,1,House Stark,1,1,0.110367892976588,0,8,The Bells,Unnamed Northern Soldier - Stabbed in the stomach by Jon Snow using Longclaw.,71
53,Maegor I Targaryen,1,House Targaryen,0,0,0.705685618729097,0,1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
54,Margaery Tyrell,0,House Tyrell,1,1,1.0,0,6,The Winds of Winter,Queen Margaery Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.,60
55,Naerys Targaryen,0,House Targaryen,1,1,0.220735785953177,0,8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.,69
56,Quence,0,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
57,Quellon Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
58,Quellon Greyjoy,1,House Greyjoy,1,1,0.0903010033444816,0,8,The Long Night,Qhono (Wight) - Died when Arya Stark killed the Night King.,69
59,Quentyn Blackwood,0,House Tully,0,1,0.020066889632107,0,2,Blackwater,Unnamed Baratheon Soldier - Shot in the eye by Bronn with an arrow using a bow.,19
60,Quenton Greyjoy,1,House Greyjoy,0,0,0.060200668896321,1,0,,,0
61,Quhuru Mo,1,Foreign Peasant,0,0,0.040133779264214,1,0,,,0
62,Quickfinger,1,House Targaryen,0,0,0.0100334448160535,1,0,,,0
63,Quill,1,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
64,Quentin Tyrell,0,House Tyrell,0,1,0.127090301003344,1,0,,,0
65,Quort,1,Wildling,0,0,0.0100334448160535,0,1,Baelor,Qotho - Slashed across the face by Ser Jorah Mormont with a sword.,9
66,Qyle,1,,0,0,0.0133779264214046,0,7,The Queen's Justice,Unnamed Lannister Soldier - Fell to his death after being thrown from Casterly Rock by an unknown Unsullied.,63
67,Rafe,0,,0,0,0.0066889632107023,1,0,,,0
68,Racallio Ryndoon,1,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
69,Ragnor Pyke,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
70,Rainbow Knight,0,,0,0,0.0033444816053511,1,0,,,0
71,Randa,0,,0,0,0.0033444816053511,1,0,,,0
72,Rast,1,Night's Watch,0,0,0.0668896321070234,0,8,The Iron Throne,Rast (Night's Watch) - 1 (Deceased),72
73,Rawney,1,,0,1,0.0100334448160535,1,0,,,0
74,Raymar Royce,1,House Arryn,0,1,0.0133779264214046,1,0,,,0
75,Raymond Nayland,0,House Frey,0,1,0.0167224080267558,1,0,,,0
76,Raymund Tyrell,0,House Tyrell,0,0,0.127090301003344,1,0,,,0
77,Red Oarsman,0,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
78,Red Lamb,1,Foreign Noble,0,1,0.0,1,0,,,0
79,Redtusk,1,,0,1,0.0167224080267558,1,0,,,0
80,Red Rolfe,1,House Greyjoy,0,0,0.0133779264214046,0,2,The Night Lands,"Rodrik Greyjoy - Died in an unspecified manner off-screen, mentioned.",12
81,Redwyn,0,Night's Watch,0,0,0.0066889632107023,1,0,,,0
82,Reynard Webber,0,House Greyjoy,0,1,0.0066889632107023,1,0,,,0
83,Reysen,1,,0,0,0.0234113712374581,1,0,,,0
84,Rhaegel Targaryen,1,House Targaryen,1,1,0.0969899665551839,0,1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned.",10
85,Rhaena Targaryen (daughter of Daemon),0,House Targaryen,1,1,0.1438127090301,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
86,Rhaena Targaryen (daughter of Aegon III),0,House Targaryen,0,1,0.0735785953177257,0,3,And Now His Watch Is Ended,"Queen Rhaenyra Targaryen - Burned alive and consumed by dragon on the orders of King Aegon II Targaryen off-screen, mentioned.",24
87,Rhaenys Targaryen,0,House Targaryen,1,1,0.277591973244147,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
88,Rhaenys Targaryen (daughter of Rhaegar),0,House Targaryen,0,1,0.244147157190635,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
89,Rhialta Vance,0,House Tully,0,0,0.0167224080267558,1,0,,,0
90,Rhaenys Targaryen (daughter of Aemon),0,House Targaryen,1,1,0.1438127090301,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
91,Rhonda Rowan,0,House Tyrell,1,0,0.0501672240802675,1,0,,,0
92,Richard Farrow,0,Noble,0,1,0.0167224080267558,0,2,Valar Morghulis,"Farlen - Killed by unknown Bolton soldiers off-screen, body shown.",20
93,Richard Lonmouth,1,Noble,0,1,0.0234113712374581,1,0,,,0
94,Rigney,1,,0,1,0.0033444816053511,1,0,,,0
95,Rob,1,House Tyrell,0,0,0.0033444816053511,1,0,,,0
96,Rickard Tyrell,1,House Tyrell,0,0,0.123745819397993,1,0,,,0
97,Robb Reyne,1,House Lannister,0,1,0.0066889632107023,1,0,,,0
98,Robert Ashford,1,House Tyrell,0,1,0.0234113712374581,1,0,,,0
99,Robert Brax (son of Flement),1,House Lannister,0,0,0.120401337792642,1,0,,,0
100,Robert Paege,0,House Frey,0,1,0.0100334448160535,1,0,,,0
101,Robb Stark,1,House Stark,0,0,1.0,0,8,The Iron Throne,King/Lord Robb Stark - 8 (Deceased),72
102,Robin,1,,0,0,0.0167224080267558,1,0,,,0
103,Robert Frey (son of Raymund),1,House Frey,0,0,0.147157190635451,1,0,,,0
104,Robin Greyjoy,1,House Greyjoy,0,0,0.0635451505016722,1,0,,,0
105,Robin Hollard,1,House Baratheon,0,0,0.0267558528428093,1,0,,,0
106,Rodrik Freeborn,1,House Greyjoy,0,0,0.0133779264214046,1,0,,,0
107,Roelle,0,House Baratheon,0,0,0.0,1,0,,,0
108,Rodrik Stark (son of Beron),1,House Stark,1,0,0.100334448160535,1,0,,,0
109,Roger of Pennytree,1,,0,0,0.0301003344481605,0,4,The Lion and the Rose,Two Pigeons - Accidentally decapitated by King Joffrey I Baratheon with Widow's Wail.,32
110,Roggo,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
111,Roger Ryswell,1,House Stark,0,0,0.0468227424749163,1,0,,,0
112,Rolder,1,House Lannister,0,0,0.0,1,0,,,0
113,Roland Crakehall (Kingsguard),1,House Lannister,0,1,0.020066889632107,1,0,,,0
114,Rolfe,1,,0,0,0.0033444816053511,1,0,,,0
115,Rolland Darklyn,1,House Targaryen,0,1,0.0100334448160535,1,0,,,0
116,Rollam Westerling,1,House Lannister,0,0,0.0434782608695652,1,0,,,0
117,Romny Weaver,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
118,Ronald Storm,1,Noble,0,0,0.040133779264214,1,0,,,0
119,Ronnel Stout,0,House Stark,0,0,0.0334448160535117,1,0,,,0
120,Ronnel Harclay,0,Noble,0,0,0.0133779264214046,1,0,,,0
121,Roone,1,,0,0,0.040133779264214,1,0,,,0
122,Roone (maester),1,,0,1,0.0100334448160535,1,0,,,0
123,Roryn Drumm,0,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
124,Roose Ryswell,1,House Stark,0,0,0.0301003344481605,1,0,,,0
125,Rosamund Lannister,0,House Lannister,0,0,0.0234113712374581,1,0,,,0
126,Rosey,0,,0,0,0.0301003344481605,1,0,,,0
127,Rowan,1,Wildling,0,0,0.060200668896321,0,7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.,61
128,Rudge,0,Night's Watch,0,0,0.0,1,0,,,0
129,Runciter,1,,0,1,0.244147157190635,0,5,Hardhome,Lord of Bones/Rattleshirt - Beaten to death by Tormund Giantsbane with a staff.,48
130,Rupert Crabb,0,Noble,0,1,0.0066889632107023,1,0,,,0
131,Rus,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
132,Rusty Flowers,1,Night's Watch,0,0,0.0,1,0,,,0
133,Ryam,1,,0,1,0.0133779264214046,1,0,,,0
134,Ryk,1,Wildling,1,0,0.0267558528428093,1,0,,,0
135,Ryles,0,Night's Watch,0,0,0.0133779264214046,0,7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.,61
136,Rymolf,0,House Greyjoy,0,0,0.0,1,0,,,0
137,S'vrone,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
138,Saathos,0,,0,0,0.0033444816053511,1,0,,,0
139,Sailor's Wife,0,Peasant,0,0,0.0468227424749163,1,0,,,0
140,Sallor,1,Outlaw,0,0,0.0301003344481605,0,7,Dragonstone,"Sally - Throat slit by an unknown farmer with a knife off-screen, body shown.",61
141,Salloreon,1,Peasant,0,0,0.0133779264214046,1,0,,,0
142,Sam Stoops,1,House Tyrell,0,0,0.0033444816053511,1,0,,,0
143,Samwell Spicer,1,Noble,0,1,0.0133779264214046,1,0,,,0
144,Sargon Botley,1,House Greyjoy,0,0,0.0535117056856187,1,0,,,0
145,Scarb,0,,0,0,0.0066889632107023,1,0,,,0
146,Sawwood,1,Night's Watch,0,0,0.0100334448160535,1,0,,,0
147,Sedgekins,0,,0,0,0.0,1,0,,,0
148,Sefton Staunton,1,Noble,0,0,0.0301003344481605,1,0,,,0
149,Serra,0,Foreign Noble,1,0,0.0167224080267558,1,0,,,0
150,Sharna,0,,1,0,0.0367892976588628,1,0,,,0
151,Shella,0,,0,0,0.0033444816053511,1,0,,,0
152,Sherrit,0,,0,1,0.0033444816053511,1,0,,,0
153,Shortear,0,House Lannister,0,0,0.0133779264214046,1,0,,,0
154,Shyra,0,House Stark,0,0,0.020066889632107,1,0,,,0
155,Sigfry Stonetree,1,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
156,Sigrin,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
157,Simon Leygood,0,Noble,0,1,0.0033444816053511,1,0,,,0
158,Sky Blue Su,0,,0,0,0.0,1,0,,,0
159,Skinner,1,House Bolton,0,0,0.0334448160535117,1,0,,,0
160,Skittrick,0,House Stark,0,0,0.0066889632107023,1,0,,,0
161,Skyte,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
162,Sloey,0,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
163,Spare Boot,1,Night's Watch,0,0,0.0133779264214046,1,0,,,0
164,Softfoot,1,Night's Watch,0,0,0.020066889632107,0,5,Hardhome,"40 Oysters - Died in an unspecified manner off-screen, bodies shown.",48
165,Spotted Pate of Maidenpool,1,Night's Watch,0,0,0.0133779264214046,0,6,The Broken Man,"Lady Maege Mormont - Died of unknown causes during the War of the Five Kings off-screen, mentioned.",57
166,Squint,0,House Greyjoy,0,0,0.0033444816053511,0,4,Two Swords,"Rabbit - Shot in the eye by Ygritte with an arrow off-screen, mentioned.",31
167,Squirrel,0,Wildling,0,0,0.0434782608695652,0,2,The North Remembers,The Silver (Horse) - Died of starvation and dehydration.,11
168,Steffarion Sparr,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
169,Stafford Lannister,1,House Lannister,1,1,0.170568561872909,0,7,The Spoils of War,"Unnamed Lannister Soldier - Stabbed in the chest by an unknown Dothraki with a sword off-screen, body shown.",64
170,Steffon Fossoway,1,House Tyrell,0,1,0.040133779264214,1,0,,,0
171,Steffon Hollard,0,House Baratheon,0,1,0.0267558528428093,1,0,,,0
172,Stannis Baratheon,1,House Baratheon,0,0,1.0,0,8,The Iron Throne,King Stannis Baratheon - 11 (Deceased),72
173,Steffon Varner,1,Noble,0,1,0.0133779264214046,1,0,,,0
174,Stone Thumbs,0,Wildling,0,0,0.0033444816053511,0,4,The Watchers on the Wall,Styr - Hit in the head by Jon Snow with a hammer.,39
175,Stonehand,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
176,Sybassion,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
177,Sylas,0,House Greyjoy,0,0,0.0066889632107023,0,1,The Wolf and the Lion,Wyl - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.,5
178,Symon Stripeback,1,House Targaryen,0,0,0.0434782608695652,1,0,,,0
179,Symond Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
180,Tagganaro,1,Foreign Peasant,0,0,0.0301003344481605,1,0,,,0
181,Tal Toraq,1,House Targaryen,0,0,0.0234113712374581,1,0,,,0
182,Talea,0,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
183,Talla Tarly,1,House Tyrell,0,0,0.0702341137123745,1,0,,,0
184,Tansy,0,Peasant,0,0,0.0234113712374581,0,4,The Lion and the Rose,Tansy - Mauled by the bastard's girls on the orders of Lord Ramsay Snow.,32
185,Tansy (orphan),0,,0,0,0.0066889632107023,1,0,,,0
186,Tarber,1,,0,0,0.0334448160535117,1,0,,,0
187,Terrance Lynderly,0,House Arryn,0,0,0.0167224080267558,1,0,,,0
188,Terro,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
189,Theo Frey,1,House Frey,0,1,0.0133779264214046,1,0,,,0
190,Theobald,1,,0,1,0.020066889632107,1,0,,,0
191,Thistle,0,Wildling,0,0,0.0167224080267558,0,8,The Iron Throne,Ser Alliser Thorne - 3 (Deceased),72
192,Theon Stark,1,House Stark,0,0,0.0568561872909698,1,0,,,0
193,Thormor Ironmaker,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
194,Tim Stone,0,Night's Watch,0,0,0.0167224080267558,1,0,,,0
195,Timon,0,,0,1,0.0066889632107023,1,0,,,0
196,Timett (father),0,Outlaw,0,0,0.0133779264214046,1,0,,,0
197,Timoth,1,House Martell,0,0,0.0066889632107023,1,0,,,0
198,Tobbot,0,House Lannister,0,0,0.0100334448160535,1,0,,,0
199,Toefinger,1,Wildling,0,0,0.0066889632107023,1,0,,,0
200,Todric,1,,0,0,0.0167224080267558,0,3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment"".",22
201,Tom Costayne,0,House Tyrell,0,1,0.0066889632107023,1,0,,,0
202,TomToo,0,House Stark,0,0,0.0133779264214046,1,0,,,0
203,Tommard Heddle,1,Noble,0,1,0.0468227424749163,0,5,Hardhome,Lord of Bones/Rattleshirt - Beaten to death by Tormund Giantsbane with a staff.,48
204,Toregg,1,Wildling,0,0,0.0267558528428093,1,0,,,0
205,Torrek,0,Outlaw,0,0,0.0,1,0,,,0
206,Tothmure,1,,0,1,0.0133779264214046,0,7,Beyond the Wall,Thoros of Myr - Froze to death after being injured by a wight snow bear.,66
207,Torrhen Stark,1,House Stark,0,0,0.0903010033444816,1,0,,,0
208,Tregar,0,House Lannister,0,0,0.0066889632107023,0,2,The Night Lands,"Eddison Tollett's Mother - Died in an unspecified manner off-screen, mentioned.",12
209,Tregar Ormollen,1,Foreign Peasant,0,0,0.0234113712374581,1,0,,,0
210,Tristan Ryger,0,House Frey,0,0,0.0066889632107023,1,0,,,0
211,Tristifer V Mudd,1,,0,0,0.0167224080267558,1,0,,,0
212,Tristimun,1,Noble,0,1,0.0,1,0,,,0
213,Tristifer IV Mudd,1,,0,0,0.0535117056856187,0,4,The Mountain and the Viper,Mully - Killed by unknown Free Folk off-screen.,38
214,Tuffleberry,0,,0,0,0.0033444816053511,1,0,,,0
215,Tumberjon,0,Night's Watch,0,0,0.0100334448160535,1,0,,,0
216,Tumco Lho,1,Foreign Peasant,0,1,0.0301003344481605,1,0,,,0
217,Turnip,0,House Stark,0,0,0.0167224080267558,1,0,,,0
218,Turquin,1,,0,1,0.0033444816053511,1,0,,,0
219,Tybero Istarion,1,Outlaw,0,0,0.0133779264214046,1,0,,,0
220,Tymor,1,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
221,Ulf the Ill,0,House Greyjoy,0,0,0.0133779264214046,0,6,Battle of the Bastards,Unnamed Northern Soldier - Slashed by Lord Smalljon Umber with a sword.,59
222,Tywin Frey (son of Raymund),1,House Frey,0,0,0.133779264214046,1,0,,,0
223,Uller,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
224,Umar,0,Outlaw,0,0,0.0066889632107023,1,0,,,0
225,Umfred,0,Noble,0,0,0.0033444816053511,1,0,,,0
226,Umma,0,Outlaw,0,0,0.0167224080267558,1,0,,,0
227,Urreg,0,,0,0,0.0100334448160535,1,0,,,0
228,Urek Ironmaker,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
229,Urrathon,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
230,Urzen,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
231,Urron Greyiron,1,House Greyjoy,0,0,0.040133779264214,1,0,,,0
232,Urrigon Greyjoy,1,House Greyjoy,0,0,0.0735785953177257,1,0,,,0
233,Uthor Underleaf,1,,0,1,0.0501672240802675,0,3,Mhysa,"Urzen - Flayed alive by Lord Ramsay Snow off-screen, mentioned.",30
234,Utt,1,Outlaw,0,0,0.0234113712374581,0,8,The Iron Throne,Othell Yarwyck - 1 (Deceased),72
235,Vaellyn,1,,0,1,0.0133779264214046,1,0,,,0
236,Varly,0,House Stark,0,0,0.0167224080267558,0,1,You Win or You Die,Varly - Killed by unknown City Watch knights.,7
237,Veiled Lady,0,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
238,Vickon Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
239,Violet,0,,0,0,0.0,1,0,,,0
240,Victor Tyrell,0,House Tyrell,0,1,0.123745819397993,1,0,,,0
241,Walda Frey (daughter of Lothar),0,House Frey,0,0,0.0869565217391304,1,0,,,0
242,Walda Frey (daughter of Edwyn),0,House Frey,0,0,0.103678929765886,1,0,,,0
243,Walda Frey (daughter of Rhaegar),0,House Frey,0,0,0.0,1,0,,,0
244,Walda Frey (daughter of Walton),0,House Frey,0,0,0.0,1,0,,,0
245,Walda Frey (daughter of Merrett),0,House Frey,1,0,0.0,1,0,,,0
246,Walda Rivers (daughter of Aemon),0,House Frey,0,0,0.0267558528428093,1,0,,,0
247,Walder Frey (son of Jammos),1,House Frey,0,0,0.0,1,0,,,0
248,Walder Frey (son of Emmon),0,House Frey,0,0,0.0,1,0,,,0
249,Walder Frey (son of Ryman),1,House Frey,0,0,0.0,1,0,,,0
250,Walder Frey (son of Merrett),1,House Frey,0,0,0.0,0,8,The Long Night,Lord Beric Dondarrion (Wight) - Died when Arya Stark killed the Night King.,69
251,Wallen,0,Night's Watch,0,0,0.020066889632107,0,4,The Watchers on the Wall,"Grenn - Killed by Mag Mar Tun Doh Weg off-screen, body shown.",39
252,Walton,1,House Bolton,0,0,0.0468227424749163,1,0,,,0
253,Walys Flowers,1,House Tyrell,0,1,0.0234113712374581,0,6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown.",60
254,Wat (Barleycorn),1,House Tyrell,0,0,0.0066889632107023,1,0,,,0
255,Blue Bard,1,House Tyrell,0,0,0.0535117056856187,1,0,,,0
256,Wat (orphan),0,,0,0,0.0033444816053511,1,0,,,0
257,Wat (sailor),0,,0,0,0.0066889632107023,1,0,,,0
258,Wat (Standfast),0,House Tyrell,0,0,0.0033444816053511,1,0,,,0
259,Wat (Wet),1,House Tyrell,0,0,0.0066889632107023,1,0,,,0
260,Wate,0,House Targaryen,0,0,0.0,1,0,,,0
261,Watt,1,Night's Watch,0,0,0.0167224080267558,0,6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown.",60
262,Wayn (guard),1,House Stark,0,0,0.0100334448160535,1,0,,,0
263,Weasel,1,,0,0,0.0167224080267558,1,0,,,0
264,Wendell Webber,1,House Greyjoy,0,1,0.0133779264214046,1,0,,,0
265,Wendello Qar Deeth,0,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
266,Werlag,0,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
267,Rafford,1,House Lannister,0,0,0.0969899665551839,0,3,And Now His Watch Is Ended,Lord Commander Jeor Mormont - Died of his injuries after being stabbed in the back by Rast.,24
268,Jhogo,0,House Targaryen,0,0,0.20066889632107,1,0,,,0
269,Sour Alyn,1,House Bolton,0,0,0.0434782608695652,1,0,,,0
270,Tobho Mott,1,Foreign Peasant,0,0,0.0836120401337792,1,0,,,0
271,Zollo,1,Dothraki,0,0,0.0367892976588628,1,0,,,0
272,Tanda Stokeworth,0,House Lannister,0,1,0.113712374581939,0,4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the stomach by Dongo with an arrow using a bow.,39
273,Samwell Tarly,1,Night's Watch,0,0,0.969899665551839,1,0,,,0
274,Abelar Hightower,1,House Tyrell,0,1,0.0,1,0,,,0
275,Addam Frey,1,House Frey,0,1,0.0267558528428093,1,0,,,0
276,Addam,1,,0,1,0.0066889632107023,1,0,,,0
277,Addam Osgrey,1,House Tyrell,0,0,0.0367892976588628,0,7,Stormborn,"Archmaester Pylos - Died after being infected with greyscale off-screen, mentioned.",62
278,Aegon Frey (son of Aenys),1,House Frey,0,0,0.0,1,0,,,0
279,Aegon Frey (son of Stevron),1,House Frey,0,0,0.0,0,7,Dragonstone,Ser Stevron Frey - Poisoned by Arya Stark.,61
280,Aegon I Targaryen,1,House Targaryen,0,0,1.0,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
281,Aegon II Targaryen,1,House Targaryen,0,0,0.759197324414715,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
282,Aegon IV Targaryen,1,House Targaryen,0,0,0.675585284280936,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
283,Aegon Targaryen (son of Baelon),1,House Targaryen,0,1,0.0,1,0,,,0
284,Aegon III Targaryen,1,Foreign Peasant,0,0,0.625418060200668,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
285,Aegon Targaryen (son of Jaehaerys I),0,House Targaryen,0,1,0.0,0,1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
286,Aegon Targaryen (son of Aenys I),1,House Targaryen,1,1,0.0,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
287,Aegon Targaryen (son of Rhaegar),1,House Targaryen,0,0,0.0,0,5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Beaten to death by Grey Worm with a shield.,44
288,Aemon Costayne,1,House Tyrell,0,0,0.0100334448160535,1,0,,,0
