Season,Episode,Deaths
Season 1,The Pointy End,Syrio Forel - Killed by Ser Meryn Trant off-screen.
Season 1,The Pointy End,Unnamed Stableboy - Stabbed in the stomach by Arya Stark with Needle.
Season 1,The Pointy End,"Othor - Died in an unspecified manner off-screen, body shown. Reanimated as a wight."
Season 1,The Pointy End,"Jafer Flowers - Died in an unspecified manner off-screen, body shown. Reanimated as a wight."
Season 1,The Pointy End,"Goat - Died in an unspecified manner off-screen, body shown."
Season 1,The Pointy End,Wight (Othor) - Burned alive by Jon Snow with a thrown lantern.
Season 1,The Pointy End,"14 Unnamed Villagers - Killed by unknown Dothraki off-screen, bodies shown."
Season 1,The Pointy End,Mago - Neck slit and throat ripped out by Khal Drogo.
Season 1,Baelor,Crow - Shot by Lord Robb Stark with an arrow using a bow.
Season 1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Season 1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Season 1,Baelor,"Boar - Killed and cooked by an unknown person off-screen, body shown."
Season 1,Baelor,"Unnamed Moon Brother - Throat slit by Stone Crow off-screen, mentioned."
Season 1,Baelor,The Red (Horse) - Throat slit by Mirri Maz Duur with a knife.
Season 1,Baelor,Qotho - Slashed across the face by Ser Jorah Mormont with a sword.
Season 1,Baelor,"Unnamed Woman - Killed by Bronn off-screen, mentioned."
Season 1,Baelor,"Three Chickens - Killed and cooked by an unknown person off-screen, mentioned."
Season 1,Baelor,"23 Unnamed Northern Soldiers - Shot by unknown Lannister soldiers and hill tribesmen with arrows off-screen, bodies shown."
Season 1,Baelor,"Two Horses - Shot by unknown Lannister soldiers and hill tribesmen with arrows off-screen, bodies shown."
Season 1,Baelor,Four Unnamed Northern Soldiers - Beaten to death by unknown hill tribesmen.
Season 1,Baelor,"1,973 Unnamed Northern Soldiers - Killed by unknown Lannister soldiers and hill tribesmen during the Battle of the Green Fork off-screen, mentioned."
Season 1,Baelor,"Ten Unnamed Stark Soldiers - Killed by Ser Jaime Lannister off-screen, mentioned."
Season 1,Baelor,Pigeon - Neck broken by Arya Stark.
Season 1,Fire and Blood,"Four Unnamed People - Decapitated by unknown City Watch knights off-screen, heads shown."
Season 1,Fire and Blood,"12 Unnamed Lannister Soldiers - Killed by Grey Wind off-screen, mentioned."
Season 1,Fire and Blood,"12 Horses - Killed by Grey Wind off-screen, mentioned."
Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Season 1,Fire and Blood,"Unnamed Baker - Decapitated by unknown Dothraki off-screen, mentioned."
Season 1,Fire and Blood,"Unnamed Boy - Decapitated by unknown Dothraki off-screen, mentioned."
Season 1,Fire and Blood,Khal Drogo - Suffocated by Daenerys Targaryen with a pillow after he was made comatose by Mirri Maz Duur using blood magic.
Season 1,Fire and Blood,"Unnamed Boy - Beaten to death by Hot Pie off-screen, mentioned."
Season 1,Fire and Blood,"Four Unnamed People - Died in an unspecified manner off-screen, mentioned. Reanimated as wights."
Season 1,Fire and Blood,"Four Wight - Burned alive by unknown members of the Night's Watch off-screen, mentioned."
Season 2,The North Remembers,Unnamed Knight - Fell off a wall after being hit in the head by Sandor Clegane/The Hound with a mace.
Season 2,The North Remembers,The Silver (Horse) - Died of starvation and dehydration.
Season 2,The North Remembers,Maester Cressen - Committed suicide by drinking wine poisoned with the strangler.
Season 2,The North Remembers,Barra - Sliced by Lord Janos Slynt with a knife on the orders of King Joffrey I Baratheon.
Season 2,The North Remembers,Two Unnamed Boys - Stabbed in the chest by unknown City Watch knights with knives on the orders of King Joffrey I Baratheon.
Season 2,The North Remembers,Unnamed Boy - Drowned by an unknown City Watch knight on the orders of King Joffrey I Baratheon.
Season 2,The Night Lands,"Eddison Tollett's Mother - Died in an unspecified manner off-screen, mentioned."
Season 2,The Night Lands,"Rakharo - Decapitated by an unknown khalasar off-screen, head shown."
Season 2,The Night Lands,"Unnamed Man - Stabbed in the neck by an unknown man off-screen, mentioned."
Season 2,The Night Lands,"Rodrik Greyjoy - Died in an unspecified manner off-screen, mentioned."
Season 2,What Is Dead May Never Die,"Yoren's Brother - Stabbed in the heart by Willem off-screen, mentioned."
Season 2,What Is Dead May Never Die,"Willem - Hit in the head by Yoren with an axe off-screen, mentioned."
Season 2,What Is Dead May Never Die,Unnamed Lannister Soldier - Throat slashed by Yoren with a sword.
Season 2,What Is Dead May Never Die,Unnamed Lannister Soldier - Slashed across the stomach Yoren with a sword.
Season 2,What Is Dead May Never Die,Unnamed Lannister Soldier - Throat slashed by Yoren with a sword.
Season 2,What Is Dead May Never Die,Yoren - Stabbed in the back of the neck by Ser Amory Lorch with a sword.
Season 2,What Is Dead May Never Die,Unnamed Night's Watch Recruit - Stabbed in the stomach by an unknown Lannister soldier with a spear.
Season 2,What Is Dead May Never Die,Unnamed Night's Watch Recruit - Stabbed by an unknown Lannister soldier.
Season 2,Garden of Bones,Rennick - Mauled by Grey Wind.
Season 2,Garden of Bones,"At Least 52 Unnamed Lannister Soldiers - Killed by unknown Northern soldiers during the Battle of Oxcross off-screen, bodies shown."
Season 2,Garden of Bones,"Unnamed Man - Tortured to death by The Tickler off-screen, screams heard."
Season 2,Garden of Bones,"Unnamed Woman - Tortured to death by The Tickler off-screen, mentioned."
Season 2,Garden of Bones,"Unnamed Man - Tortured to death by The Tickler off-screen, mentioned."
Season 2,Garden of Bones,Unnamed Man - Chest ripped open by a rat caused by The Tickler.
Season 2,The Ghost of Harrenhal,King Renly Baratheon - Stabbed in the back by a shadow while under the control of Melisandre.
Season 2,The Ghost of Harrenhal,Ser Emmon Cuy - Slashed across the chest by Brienne of Tarth with a sword.
Season 2,The Ghost of Harrenhal,Ser Robar Royce - Stabbed in the back by Brienne of Tarth with a sword.
Season 2,The Ghost of Harrenhal,"Minisa Tully - Died during childbirth off-screen, mentioned."
Season 2,The Ghost of Harrenhal,"Xaro Xhoan Daxos' Wife - Died in an unspecified manner off-screen, mentioned."
Season 2,The Old Gods and the New,"Two Unnamed Ironborn Soldiers - Killed by Ser Rodrik Cassel off-screen, mentioned."
Season 2,The Old Gods and the New,Ser Rodrik Cassel - Decapitated by Prince Theon Greyjoy with a sword.
Season 2,The Old Gods and the New,Two Unnamed Free Folk - Slashed by Qhorin with a sword.
Season 2,The Old Gods and the New,Unnamed King's Landing Rioter - Slashed by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed High Septon - Ripped apart by unknown King's Landing rioters.
Season 2,The Old Gods and the New,"Three Unnamed King's Landing Rioters - Killed by unknown City Watch knights off-screen, bodies shown."
Season 2,The Old Gods and the New,Unnamed King's Landing Rioter - Stabbed by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed King's Landing Rioter - Slashed by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed King's Landing Rioter - Stabbed by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Four Unnamed City Watch knights - Beaten to death by unknown King's Landing rioters.
Season 2,The Old Gods and the New,Unnamed Rapist - Stomach sliced open by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed Rapist - Stabbed in the back by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed Rapist - Throat slashed by Sandor Clegane/The Hound with a sword.
Season 2,The Old Gods and the New,Unnamed Civilian - Beaten to death by an unknown King's Landing rioter.
Season 2,The Old Gods and the New,Ser Amory Lorch - Shot in the neck by Jaqen H'ghar with a dart poisoned with wolfsbane on the orders of Arya Stark.
Season 2,The Old Gods and the New,Drennan - Throat slit by Osha with a knife.
Season 2,The Old Gods and the New,"Six Unnamed Khalasar - Killed by unknown people on the orders of Xaro Xhoan Daxos off-screen, bodies shown."
Season 2,A Man Without Honor,"Four Unnamed Lannister Soldier - Hung by unknown Lannister soldiers off-screen, bodies shown."
Season 2,A Man Without Honor,Unnamed Lannister Soldier - Hung by an unknown Lannister soldier.
Season 2,A Man Without Honor,"15 Unnamed Lannister Soldier - Hung by unknown Lannister soldiers off-screen, mentioned."
Season 2,A Man Without Honor,"King Harren Hoare - Burned alive by a dragon with its fire breath on the orders of King Aerys II Targaryen off-screen, mentioned."
Season 2,A Man Without Honor,"Skag - Decapitated by King Robert I Baratheon off-screen, mentioned."
Season 2,A Man Without Honor,Ser Alton Lannister - Beaten to death by Ser Jaime Lannister with chains.
Season 2,A Man Without Honor,Torrhen Karstark - Strangled by Ser Jaime Lannister with chains.
Season 2,A Man Without Honor,Eight Unnamed Members of The Thirteen - Throats slit by duplicates of Pyat Pree.
Season 2,A Man Without Honor,The Spice King - Throat slit by a duplicate of Pyat Pree.
Season 2,A Man Without Honor,The Silk King - Throat slit by a duplicate of Pyat Pree.
Season 2,A Man Without Honor,The Copper King - Throat slit by a duplicate of Pyat Pree.
Season 2,A Man Without Honor,Billy - Throat slit and burned by Dagmer on the orders of Prince Theon Greyjoy.
Season 2,The Prince of Winterfell,"Nine Crows - Killed by unknown Ironborn soldiers off-screen, bodies shown."
Season 2,The Prince of Winterfell,"Borba - Killed by unknown Free Folk off-screen, mentioned."
Season 2,The Prince of Winterfell,"Harker - Killed by unknown Free Folk off-screen, mentioned."
Season 2,The Prince of Winterfell,"Stonesnake - Killed by unknown Free Folk off-screen, mentioned."
Season 2,The Prince of Winterfell,"Harrion Karstark - Killed by an unknown Lannister soldier off-screen, mentioned."
Season 2,The Prince of Winterfell,"Five Unnamed Lannister Soldiers - Hung by unknown Lannister soldiers off-screen, bodies shown."
Season 2,The Prince of Winterfell,"Four Unnamed Lannister Soldiers - Impaled by Jaqen H'ghar off-screen, bodies shown."
Season 2,The Prince of Winterfell,"Unnamed Shepherd - Killed by Dagmer off-screen, mentioned."
Season 2,Blackwater,"Unnamed Groom - Decapitated by Ser Ilyn Payne on the orders of Queen Cersei I Lannister off-screen, mentioned."
Season 2,Blackwater,"Two Unnamed Maids - Decapitated by Ser Ilyn Payne on the orders of Queen Cersei I Lannister off-screen, mentioned."
Season 2,Blackwater,"4,999 Unnamed Baratheon Sailors - Blown up by Bronn when he blew up their ships by igniting wildfire with a flaming arrow using a bow."
Season 2,Blackwater,Matthos Seaworth - Blown up by Bronn when he blew up his ship by igniting wildfire with a flaming arrow using a bow.
Season 2,Blackwater,28 Unnamed Baratheon Soldiers - Shot by unknown City Watch soldiers with flaming arrows using bows.
Season 2,Blackwater,Unnamed Baratheon Soldier - Head crushed by an unknown City Watch soldier with a dropped rock.
Season 2,Blackwater,Two Unnamed City Watch Soldiers - Shot by unknown Baratheon soldiers with arrows using bows.
Season 2,Blackwater,Unnamed Baratheon Soldier - Slashed by an unknown City Watch soldier with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Stabbed in the back by an unknown Baratheon soldier with an axe.
Season 2,Blackwater,Unnamed City Watch Soldier - Throat slashed by an unknown Baratheon soldier with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Stabbed in the back by an unknown Baratheon soldier with a sword.
Season 2,Blackwater,Unnamed Baratheon Soldier - Slashed by Sandor Clegane/The Hound with a sword.
Season 2,Blackwater,Unnamed Baratheon Soldier - Horizontally bisected by Sandor Clegane/The Hound with a sword.
Season 2,Blackwater,Two Unnamed Baratheon Soldiers - Stabbed by unknown City Watch soldiers.
Season 2,Blackwater,Unnamed Baratheon Soldier - Vertically bisected by Sandor Clegane/The Hound with a sword.
Season 2,Blackwater,Unnamed Baratheon Soldier - Stabbed by an unknown City Watch soldier with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Stabbed by an unknown Baratheon soldier with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Beaten to death by an unknown Baratheon soldier.
Season 2,Blackwater,Unnamed Baratheon Soldier - Shot in the eye by Bronn with an arrow using a bow.
Season 2,Blackwater,Unnamed Baratheon Soldier - Stabbed in the back by Bronn with a knife.
Season 2,Blackwater,Unnamed Baratheon Soldier - Throat slit by Bronn with a knife.
Season 2,Blackwater,Unnamed City Watch Soldier - Stabbed in the stomach by King Stannis Baratheon with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Slashed by King Stannis Baratheon with a sword.
Season 2,Blackwater,Two Unnamed Baratheon Soldiers - Crushed by unknown City Watch soldiers with dropped rocks.
Season 2,Blackwater,Two Unnamed City Watch Soldiers - Shot by unknown Baratheon soldiers with arrows using bows.
Season 2,Blackwater,Unnamed Baratheon Soldier - Stabbed in the chest by Lord Tyrion Lannister with an axe.
Season 2,Blackwater,34 Unnamed Baratheon Soldiers - Killed by unknown City Watch soldiers.
Season 2,Blackwater,Unnamed City Watch Soldier - Slashed by King Stannis Baratheon with a sword.
Season 2,Blackwater,Unnamed City Watch Soldier - Head cut in half by King Stannis Baratheon with a sword.
Season 2,Blackwater,Ser Mandon Moore - Stabbed in the back of the head by Podrick Payne with a spear.
Season 2,Blackwater,Two Unnamed City Watch Soldiers - Killed by unknown Baratheon soldiers.
Season 2,Valar Morghulis,"Three Unnamed Prostitutes - Killed and hung by Tom and other unknown Stark soldiers off-screen, bodies shown."
Season 2,Valar Morghulis,Two Unnamed Stark Soldiers - Throat slashed by Lady Brienne of Tarth with a knife.
Season 2,Valar Morghulis,Tom - Stabbed in the stomach by Lady Brienne of Tarth with a sword.
Season 2,Valar Morghulis,"Palla - Killed by unknown Bolton soldiers off-screen, body shown."
Season 2,Valar Morghulis,"Farlen - Killed by unknown Bolton soldiers off-screen, body shown."
Season 2,Valar Morghulis,"Dancer (Horse) - Killed by unknown Bolton soldiers off-screen, body shown."
Season 2,Valar Morghulis,"Three Unnamed Winterfell Civilians - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 2,Valar Morghulis,Maester Luwin - Stabbed by Osha after being stabbed in the stomach by Dagmer with a spear.
Season 2,Valar Morghulis,"Pyat Pree - Burned alive by Drogon, Rhaegal, and Viserion with their fire breath on the orders of Queen Daenerys I Targaryen."
Season 2,Valar Morghulis,Qhorin Halfhand - Stabbed through the stomach by Jon Snow using Longclaw.
Season 2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.
Season 2,Valar Morghulis,King Xaro Xhoan Daxos - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.
Season 2,Valar Morghulis,"215 Unnamed People - Died in an unspecified manner off-screen, bodies shown. Reanimated as wight."
Season 3,Valar Dohaeris,"Unnamed Member of The Night's Watch - Decapitated by a White Walker off-screen, body shown."
Season 3,Valar Dohaeris,Wight - Burned alive by Lord Commander Jeor Mormont with a torch.
Season 3,Valar Dohaeris,"Unnamed Man - Slammed into the ground by Dongo off-screen, mentioned."
Season 3,Valar Dohaeris,"199 Unnamed Northmen - Killed by unknown Lannister soldiers off-screen, bodies shown."
Season 3,Valar Dohaeris,"Horse - Killed by unknown Lannister soldiers off-screen, body shown."
Season 3,Valar Dohaeris,"Ser Jaremy Mallister - Stabbed in the chest by an unknown Lannister soldier off-screen, body shown."
Season 3,Valar Dohaeris,Fish - Burned alive and consumed by Drogon.
Season 3,Valar Dohaeris,"Unnamed Woman - Died during childbirth off-screen, mentioned."
Season 3,Valar Dohaeris,"24,000 Unnamed Men - Died while training to become an Unsullied off-screen, mentioned."
Season 3,Valar Dohaeris,"7,996 Unnamed Babies - Killed by unknown Unsullied off-screen, mentioned."
Season 3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment""."
Season 3,"Dark Wings, Dark Words","Lord Luthor Tyrell - Accidentally rode off a cliff off-screen, mentioned."
Season 3,Walk of Punishment,"208 Unnamed Tully and Mallister Soldiers - Killed by unknown Lannister soldiers during the Battle of Stone Mill off-screen, mentioned."
Season 3,Walk of Punishment,"42 Horses - Sliced apart by White Walkers off-screen, bodies shown."
Season 3,Walk of Punishment,"12 Unnamed Slaves - Crucified by unknown Good Masters off-screen, bodies shown."
Season 3,Walk of Punishment,"Both of Missandei's Parents - Died in an unspecified manner off-screen, mentioned."
Season 3,Walk of Punishment,Three Unnamed Bolton Soldiers - Shot in the chest and back by Lord Ramsay Snow with arrows using a bow.
Season 3,And Now His Watch Is Ended,"Queen Rhaenyra Targaryen - Burned alive and consumed by dragon on the orders of King Aegon II Targaryen off-screen, mentioned."
Season 3,And Now His Watch Is Ended,"Aerion ""Brightflame"" Targaryen - Burned alive when he drank wildfire off-screen, mentioned."
Season 3,And Now His Watch Is Ended,"Bannen - Starved to death off-screen, body shown."
Season 3,And Now His Watch Is Ended,Craster - Stabbed in the throat by Karl Tanner with a knife.
Season 3,And Now His Watch Is Ended,Lord Commander Jeor Mormont - Died of his injuries after being stabbed in the back by Rast.
Season 3,And Now His Watch Is Ended,Unnamed Gold Master - Stabbed in the back by an unknown Unsullied with a spear on the orders of Queen Daenerys I Targaryen.
Season 3,And Now His Watch Is Ended,Unnamed Gold Master - Stabbed in the chest by an unknown Unsullied with a spear on the orders of Queen Daenerys I Targaryen.
Season 3,And Now His Watch Is Ended,Kraznys mo Nakloz - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.
Season 3,And Now His Watch Is Ended,Greizhen mo Ullhor - Killed by unknown Unsullied on the orders of Queen Daenerys I Targaryen.
Season 3,Kissed by Fire,Lord Beric Dondarrion - Slashed through the torso by Sandor Clegane/The Hound with a sword. Resurrected by Thoros via the Lord of Light.
Season 3,Kissed by Fire,Unnamed Stark Guard - Stabbed through the back by an unknown Stark soldier with a sword.
Season 3,Kissed by Fire,Willem Lannister - Stabbed in the stomach by Lord Rickard Karstark with a dagger.
Season 3,Kissed by Fire,Martyn Lannister - Stabbed by Lord Rickard Karstark with a dagger.
Season 3,Kissed by Fire,"Four Unnamed Stark Soldiers - Hung by unknown Stark soldiers on the orders of King Robb Stark off-screen, mentioned."
Season 3,Kissed by Fire,Lord Rickard Karstark - Decapitated by King Robb Stark with a sword.
Season 3,Kissed by Fire,"Lord Beric Dondarrion - Stabbed through the chest by Ser Gregor Clegane/The Mountain with a lance off-screen, mentioned. Resurrected by Thoros via the Lord of Light."
Season 3,Kissed by Fire,"Lord Beric Dondarrion - Stabbed in the stomach by an unknown person off-screen, mentioned. Resurrected by Thoros via the Lord of Light."
Season 3,Kissed by Fire,"Lord Beric Dondarrion - Shot in the back by an unknown person with an arrow off-screen, mentioned. Resurrected by Thoros via the Lord of Light."
Season 3,Kissed by Fire,"Lord Beric Dondarrion - Hit in the side by an unknown person with an axe off-screen, mentioned. Resurrected by Thoros via the Lord of Light."
Season 3,Kissed by Fire,"Lord Beric Dondarrion - Hung and stabbed in the eye by an unknown Lannister soldier off-screen, mentioned. Resurrected by Thoros via the Lord of Light."
Season 3,Kissed by Fire,"Petyr Baratheon - Died during childbirth off-screen, body shown."
Season 3,Kissed by Fire,"Tommard Baratheon - Died during childbirth off-screen, body shown."
Season 3,Kissed by Fire,"Edric Baratheon - Died during childbirth off-screen, body shown."
Season 3,Kissed by Fire,"Unnamed Pyromancer - Killed by Ser Jaime Lannister off-screen, mentioned."
Season 3,Kissed by Fire,"Unnamed Baby - Killed by Grey Worm off-screen, mentioned."
Season 3,Kissed by Fire,"Unnamed Baby - Killed by Red Flea off-screen, mentioned."
Season 3,The Climb,"Three Rabbits - Shot by Meera Reed with arrows using a bow off-screen, bodies shown."
Season 3,The Climb,At Least Six Unnamed Free Folk - Fell to their deaths while climbing the Wall.
Season 3,The Bear and the Maiden Fair,Deer - Shot by Ygritte with an arrow using a bow.
