Name,Culture,Born,Died,Titles,Aliases,Father,Mother,Spouse,Allegiances,Books,POV Books,TV Series,Played By,URL
Balon Greyjoy,,,"299 AC, at Pyke","['Iron King', 'King of the Isles and the North', 'King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke', 'The Greyjoy', 'Captain of the Great Kraken']","['Balon the Brave', 'Balon the Blessed', 'Balon the Twice Crowned', 'Balon the Widowmaker', 'The Kraken King']",https://www.anapioficeandfire.com/api/characters/836,,https://www.anapioficeandfire.com/api/characters/66,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 2', 'Season 3', 'Season 6']",['Patrick Malahide'],https://www.anapioficeandfire.com/api/characters/12
Chayle,,,"In 299 AC, at Winterfell",['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/13
Gillam,,,,['Brother'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/14
High Septon,,,,"['High Septon', 'His High Holiness', 'Father of the Faithful', 'Voice of the Seven on Earth']",['The High Sparrow'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 5', 'Season 6']",['Jonathan Pryce'],https://www.anapioficeandfire.com/api/characters/15
Margaery Tyrell,Westeros,"In 283 AC, at Highgarden",,['Queen of the Seven Kingdoms'],"['The Little Queen', 'The Little Rose', 'Maid Margaery']",,,https://www.anapioficeandfire.com/api/characters/862,['https://www.anapioficeandfire.com/api/houses/398'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 2', 'Season 3', 'Season 4', 'Season 5', 'Season 6']",['Natalie Dormer'],https://www.anapioficeandfire.com/api/characters/16
Melicent,,,,['Septa'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/17
Meribald,,"In 247 AC or 248 AC, at the riverlands",,['Septon'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/18
Moelle,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/19
Mordane,,,"In 298 AC, at King's Landing",['Septa'],[''],,,,['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",[],['Season 1'],['Susan Brown'],https://www.anapioficeandfire.com/api/characters/20
Nysterica,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/21
Ollidor,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/22
Osmynd,,,,['Septon'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/2'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/23
Raynard,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/24
Scolera,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/25
Torbert,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/26
Tywin Lannister,,In 242 AC,"In 300 AC, at King's Landing","['Lord of Casterly Rock', 'Shield of Lannisport', 'Warden of the West', 'Hand of the King', ""Savior of the City (of King's Landing)""]","['The Lion of Lannister', 'The Old Lion', 'The Great Lion of the Rock']",,,https://www.anapioficeandfire.com/api/characters/562,['https://www.anapioficeandfire.com/api/houses/229'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],"['Season 1', 'Season 2', 'Season 3', 'Season 4']",['Charles Dance'],https://www.anapioficeandfire.com/api/characters/27
Unella,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 5', 'Season 6']",['Hannah Waddingham'],https://www.anapioficeandfire.com/api/characters/28
Abelar Hightower,,,,['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/195'],['https://www.anapioficeandfire.com/api/books/4'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/29
Addam Frey,,,,['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/143'],['https://www.anapioficeandfire.com/api/books/7'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/30
Addam Marbrand,,,,"['Ser', 'Commander of the City Watch']",[''],,,,['https://www.anapioficeandfire.com/api/houses/258'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],['Season 1'],['B.J. Hogg'],https://www.anapioficeandfire.com/api/characters/31
Addam Osgrey,,In 183 AC or 184 AC,"In 196 AC, at Redgrass Field",[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/291'],['https://www.anapioficeandfire.com/api/books/6'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/32
Addam Velaryon,Valyrian,"In 114 AC, at Hull","In 130 AC, at Tumbleton",['Ser'],['Addam of Hull'],,,,"['https://www.anapioficeandfire.com/api/houses/378', 'https://www.anapioficeandfire.com/api/houses/407']","['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/33
Addison Hill,,At Cornfield,,"['Ser', 'Lord Commander of the Kingsguard']",['The Bastard of Cornfield'],,,,['https://www.anapioficeandfire.com/api/houses/374'],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/34
Aegon Blackfyre,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field",[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/23'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/35
Aegon Frey,,In 249 AC (roughly),"In 299 AC, at the Twins",[''],['Jinglebell'],,,,['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/36
Aegon Frey,,In or between 253 AC and 272 AC,,[''],['Aegon Bloodborn'],,,,['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/37
Aegon I,,"27 BC, at Dragonstone","37 AC, at Dragonstone","['King of All Westeros', 'Shield of His People', 'King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm', 'Lord of Dragonstone']","['Aegon the Conqueror', 'Aegon the Dragon', 'Aegon the Dragonlord']",https://www.anapioficeandfire.com/api/characters/59,https://www.anapioficeandfire.com/api/characters/1070,https://www.anapioficeandfire.com/api/characters/2071,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/38
Aegon II,,"107 AC, at King's Landing","131 AC, at King's Landing","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","['Aegon the Elder', 'Aegon the Usurper']",https://www.anapioficeandfire.com/api/characters/1076,https://www.anapioficeandfire.com/api/characters/76,https://www.anapioficeandfire.com/api/characters/488,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/39
Aegon III,Valyrian,"120 AC, at Dragonstone","157 AC, at King's Landing","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","['Aegon the Younger', 'Aegon the Dragonbane', 'Aegon the Unlucky', 'The Broken King']",https://www.anapioficeandfire.com/api/characters/269,https://www.anapioficeandfire.com/api/characters/874,https://www.anapioficeandfire.com/api/characters/1527,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/40
Aegon IV,,"135 AC, at King's Landing","184 AC, at King's Landing","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",['Aegon the Unworthy'],,,https://www.anapioficeandfire.com/api/characters/779,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/41
Aegon Targaryen,Valyrian,"In 281 AC or 282 AC, at Dragonstone","In 283 AC (Supposedly), at King's Landing",[''],['Young Griff'],,,,['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/42
Aegon Targaryen,Valyrian,In 26 AC,"In 43 AC, at Gods Eye",['Prince'],[''],,,https://www.anapioficeandfire.com/api/characters/873,['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/43
Aegon Targaryen,Valyrian,,,['Prince'],[''],,,,['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/44
Aegon Targaryen,Valyrian,In or between 50 AC and 59 AC,,['Prince'],[''],,,,['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/45
Aegon V,,"200 AC, at King's Landing","259 AC, at Summerhall","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","['Aegon the Unlikely', 'Aegon the Fortunate', 'The Prince Who Was An Eggg']",https://www.anapioficeandfire.com/api/characters/695,https://www.anapioficeandfire.com/api/characters/334,https://www.anapioficeandfire.com/api/characters/195,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/46
Aegor Rivers,,In 172 AC,"In 241 AC, at the Disputed Lands",['Ser'],['Bittersteel'],,,https://www.anapioficeandfire.com/api/characters/226,"['https://www.anapioficeandfire.com/api/houses/23', 'https://www.anapioficeandfire.com/api/houses/37']","['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/47
Aelinor Penrose,Valyrian,,,['Queen'],[''],,,https://www.anapioficeandfire.com/api/characters/61,"['https://www.anapioficeandfire.com/api/houses/300', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/48
Aemma Arryn,,In 82 AC,In 105 AC,['Queen'],[''],,,https://www.anapioficeandfire.com/api/characters/1076,"['https://www.anapioficeandfire.com/api/houses/7', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/49
Aemon Blackfyre,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field",[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/23'],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/50
Aemon Costayne,,,,[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/83'],['https://www.anapioficeandfire.com/api/books/3'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/51
Aemon Estermont,Stormlands,,,['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/117'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/52
Aemon Rivers,,,,['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/53
Aemon Targaryen,Valyrian,"In 198 AC, at King's Landing","In 300 AC, at the Cinnamon Wind, off the coast of Dorne, at the Summer Sea",['Maester'],"['Aemon Targaryen', 'Maester Aemon', 'Uncle Maester']",,,,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 1', 'Season 3', 'Season 4', 'Season 5']",['Peter Vaughan'],https://www.anapioficeandfire.com/api/characters/54
Aemond Targaryen,Valyrian,In 110 AC,"In 130 AC, at the Gods Eye","['Prince', 'Protector of the Realm', 'Prince Regent']",['Aemond One-Eye Aemond the Kinslayer'],,,,['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/55
Aenys Frey,,In or between 240 AC and 247 AC,"In 300 AC, at Near Winterfell",['Ser'],[''],,,https://www.anapioficeandfire.com/api/characters/1045,['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/56
Aenys I,,"7 AC, at Dragonstone","42 AC, at Dragonstone","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/38,https://www.anapioficeandfire.com/api/characters/1874,https://www.anapioficeandfire.com/api/characters/110,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/57
Aerion Targaryen,Valyrian,In or between 191 AC and 194 AC,In 232 AC,['Prince'],"['Brightflame', 'Aerion the Monstrous', 'The Bright Prince', 'The Prince Who Thought He Was a Dragon']",,,https://www.anapioficeandfire.com/api/characters/272,['https://www.anapioficeandfire.com/api/houses/378'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/58
Aerion Targaryen,Valyrian,At Dragonstone,At Dragonstone,['Lord of Dragonstone'],[''],,,https://www.anapioficeandfire.com/api/characters/1070,['https://www.anapioficeandfire.com/api/houses/378'],['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/59
Aeron Greyjoy,Ironborn,"In or between 269 AC and 273 AC, at Pyke",,"['Priest of the Drowned God', 'Captain of the Golden Storm (formerly)']","['The Damphair', 'Aeron Damphair']",,,,['https://www.anapioficeandfire.com/api/houses/169'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']",['https://www.anapioficeandfire.com/api/books/5'],['Season 6'],['Michael Feast'],https://www.anapioficeandfire.com/api/characters/60
Aerys I,,"or between 172 AC and 176 AC, at King's Landing",221 AC,"['King of the Andals, the Rhoynar, and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']",[''],https://www.anapioficeandfire.com/api/characters/274,https://www.anapioficeandfire.com/api/characters/709,https://www.anapioficeandfire.com/api/characters/48,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/4', 'https://www.anapioficeandfire.com/api/books/6', 'https://www.anapioficeandfire.com/api/books/7', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/61
Aerys II,,"244 AC, at King's Landing","283 AC, at the Red Keep in King's Landing","['King of the Andals, the Rhoynar and the First Men', 'Lord of the Seven Kingdoms', 'Protector of the Realm']","['The Mad King', 'King Scab']",https://www.anapioficeandfire.com/api/characters/527,https://www.anapioficeandfire.com/api/characters/971,https://www.anapioficeandfire.com/api/characters/869,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8', 'https://www.anapioficeandfire.com/api/books/11']",[],['Season 6'],['David Rintoul'],https://www.anapioficeandfire.com/api/characters/62
Aglantine,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/63
Aladale Wynch,Ironborn,,"In 300 AC, at Bridge of Skulls",['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/439'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/64
Alan,,In Age of Heroes,,[''],"[""Alan o' the Oak"", 'The Blind Bowman']",,,,['https://www.anapioficeandfire.com/api/houses/443'],['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/65
Alannys Harlaw,Ironborn,,,['Queen of the Iron Islands'],['Lanny'],,,https://www.anapioficeandfire.com/api/characters/12,"['https://www.anapioficeandfire.com/api/houses/169', 'https://www.anapioficeandfire.com/api/houses/178']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/66
Albar Royce,,,,['Ser'],[''],,,,['https://www.anapioficeandfire.com/api/houses/329'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/67
Alekyne Florent,,,,['Lord of Brightwater (attainted)'],[''],,,,['https://www.anapioficeandfire.com/api/houses/133'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/68
Alerie Hightower,,"In or between 257 AC and 263 AC, at Oldtown",,['Lady of Highgarden'],[''],,,https://www.anapioficeandfire.com/api/characters/691,"['https://www.anapioficeandfire.com/api/houses/195', 'https://www.anapioficeandfire.com/api/houses/398']","['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/69
Alesander Frey,,In or between 265 AC and 281 AC,,[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/143'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/70
Alesander Staedmon,,,,['Lord of Broad Arch'],['the Pennylover'],,,,['https://www.anapioficeandfire.com/api/houses/360'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/71
Alester Florent,,At Brightwater Keep,"In 300 AC, at Dragonstone","['Lord of Brightwater', 'Hand of the King']",[''],,,https://www.anapioficeandfire.com/api/characters/738,['https://www.anapioficeandfire.com/api/houses/133'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/72
Alester Norcross,,In 290 AC or 291 AC,,[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/281'],"['https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/73
Alester Oakheart,,,At Prince's Pass,[''],[''],,,,['https://www.anapioficeandfire.com/api/houses/286'],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/74
Alester Tyrell,Andal,,,['Ser'],[''],,,,"['https://www.anapioficeandfire.com/api/houses/145', 'https://www.anapioficeandfire.com/api/houses/398']",['https://www.anapioficeandfire.com/api/books/11'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/75
Alicent Hightower,,In 88 AC,In 133 AC,"['Lady', 'Queen', 'Dowager Queen']",[''],,,https://www.anapioficeandfire.com/api/characters/1076,"['https://www.anapioficeandfire.com/api/houses/195', 'https://www.anapioficeandfire.com/api/houses/378']","['https://www.anapioficeandfire.com/api/books/9', 'https://www.anapioficeandfire.com/api/books/10', 'https://www.anapioficeandfire.com/api/books/11']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/76
