Character_Name,Culture,Born,Died,Character_Titles,Aliases,Father,Mother,Spouse,Allegiances,Books,POV Books,TV Series,Played By,Character_Number,Most_Common_Allegiance,First_Allegiance_Number,House_Name,House_Region,Coat of Arms,Words,Titles_y,Seats,Current Lord,Heir,Overlord,Founded,Founder,Died Out,Ancestral Weapons,Cadet Branches,Sworn Members
,Braavosi,In 263 AC or 264 AC,,[''],['The waif'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 5', 'Season 6']",['Faye Marsay'],11,,,,,,,,,,,,,,,,,
Balon Greyjoy,,,"299 AC, at Pyke","['Iron King', 'King of the Isles and the North', 'King of Salt and Rock', 'Son of the Sea Wind', 'Lord Reaper of Pyke', 'The Greyjoy', 'Captain of the Great Kraken']","['Balon the Brave', 'Balon the Blessed', 'Balon the Twice Crowned', 'Balon the Widowmaker', 'The Kraken King']",https://www.anapioficeandfire.com/api/characters/836,,https://www.anapioficeandfire.com/api/characters/66,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 2', 'Season 3', 'Season 6']",['Patrick Malahide'],12,,,,,,,,,,,,,,,,,
Chayle,,,"In 299 AC, at Winterfell",['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",[],[''],[''],13,,,,,,,,,,,,,,,,,
Gillam,,,,['Brother'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],14,,,,,,,,,,,,,,,,,
High Septon,,,,"['High Septon', 'His High Holiness', 'Father of the Faithful', 'Voice of the Seven on Earth']",['The High Sparrow'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 5', 'Season 6']",['Jonathan Pryce'],15,,,,,,,,,,,,,,,,,
Margaery Tyrell,Westeros,"In 283 AC, at Highgarden",,['Queen of the Seven Kingdoms'],"['The Little Queen', 'The Little Rose', 'Maid Margaery']",,,https://www.anapioficeandfire.com/api/characters/862,['https://www.anapioficeandfire.com/api/houses/398'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 2', 'Season 3', 'Season 4', 'Season 5', 'Season 6']",['Natalie Dormer'],16,House Tyrell of Highgarden,398,House Tyrell of Highgarden,The Reach,"Vert, a rose Or",Growing Strong,"['Lord of Highgarden', 'Defender of the Marches', 'High Marshal of the Reach', 'Warden of the South', 'Lord Paramount of the Mander', 'High Steward of Highgarden (pre-Conquest)']",['Highgarden'],https://www.anapioficeandfire.com/api/characters/691,https://www.anapioficeandfire.com/api/characters/1113,https://www.anapioficeandfire.com/api/houses/16,,https://www.anapioficeandfire.com/api/characters/75,,[''],['https://www.anapioficeandfire.com/api/houses/397'],"['https://www.anapioficeandfire.com/api/characters/16', 'https://www.anapioficeandfire.com/api/characters/69', 'https://www.anapioficeandfire.com/api/characters/75', 'https://www.anapioficeandfire.com/api/characters/77', 'https://www.anapioficeandfire.com/api/characters/362', 'https://www.anapioficeandfire.com/api/characters/372', 'https://www.anapioficeandfire.com/api/characters/408', 'https://www.anapioficeandfire.com/api/characters/467', 'https://www.anapioficeandfire.com/api/characters/519', 'https://www.anapioficeandfire.com/api/characters/532', 'https://www.anapioficeandfire.com/api/characters/623', 'https://www.anapioficeandfire.com/api/characters/624', 'https://www.anapioficeandfire.com/api/characters/626', 'https://www.anapioficeandfire.com/api/characters/636', 'https://www.anapioficeandfire.com/api/characters/640', 'https://www.anapioficeandfire.com/api/characters/647', 'https://www.anapioficeandfire.com/api/characters/658', 'https://www.anapioficeandfire.com/api/characters/664', 'https://www.anapioficeandfire.com/api/characters/665', 'https://www.anapioficeandfire.com/api/characters/666', 'https://www.anapioficeandfire.com/api/characters/685', 'https://www.anapioficeandfire.com/api/characters/686', 'https://www.anapioficeandfire.com/api/characters/689', 'https://www.anapioficeandfire.com/api/characters/691', 'https://www.anapioficeandfire.com/api/characters/736', 'https://www.anapioficeandfire.com/api/characters/754', 'https://www.anapioficeandfire.com/api/characters/766', 'https://www.anapioficeandfire.com/api/characters/783', 'https://www.anapioficeandfire.com/api/characters/784', 'https://www.anapioficeandfire.com/api/characters/785', 'https://www.anapioficeandfire.com/api/characters/838', 'https://www.anapioficeandfire.com/api/characters/855', 'https://www.anapioficeandfire.com/api/characters/889', 'https://www.anapioficeandfire.com/api/characters/1019', 'https://www.anapioficeandfire.com/api/characters/1073', 'https://www.anapioficeandfire.com/api/characters/1075', 'https://www.anapioficeandfire.com/api/characters/1112', 'https://www.anapioficeandfire.com/api/characters/1113', 'https://www.anapioficeandfire.com/api/characters/1173', 'https://www.anapioficeandfire.com/api/characters/1244', 'https://www.anapioficeandfire.com/api/characters/1377', 'https://www.anapioficeandfire.com/api/characters/1409', 'https://www.anapioficeandfire.com/api/characters/1410', 'https://www.anapioficeandfire.com/api/characters/2080']"
Melicent,,,,['Septa'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],17,,,,,,,,,,,,,,,,,
Meribald,,"In 247 AC or 248 AC, at the riverlands",,['Septon'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],18,,,,,,,,,,,,,,,,,
Moelle,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],19,,,,,,,,,,,,,,,,,
Mordane,,,"In 298 AC, at King's Landing",['Septa'],[''],,,,['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3']",[],['Season 1'],['Susan Brown'],20,House Stark of Winterfell,362,House Stark of Winterfell,The North,"A running grey direwolf, on an ice-white field",Winter is Coming,"['King in the North', 'Lord of Winterfell', 'Warden of the North', 'King of the Trident']",['Scattered (formerly Winterfell)'],,,https://www.anapioficeandfire.com/api/houses/16,Age of Heroes,https://www.anapioficeandfire.com/api/characters/209,,['Ice'],"['https://www.anapioficeandfire.com/api/houses/170', 'https://www.anapioficeandfire.com/api/houses/215']","['https://www.anapioficeandfire.com/api/characters/2', 'https://www.anapioficeandfire.com/api/characters/20', 'https://www.anapioficeandfire.com/api/characters/97', 'https://www.anapioficeandfire.com/api/characters/98', 'https://www.anapioficeandfire.com/api/characters/136', 'https://www.anapioficeandfire.com/api/characters/143', 'https://www.anapioficeandfire.com/api/characters/148', 'https://www.anapioficeandfire.com/api/characters/170', 'https://www.anapioficeandfire.com/api/characters/181', 'https://www.anapioficeandfire.com/api/characters/192', 'https://www.anapioficeandfire.com/api/characters/206', 'https://www.anapioficeandfire.com/api/characters/207', 'https://www.anapioficeandfire.com/api/characters/208', 'https://www.anapioficeandfire.com/api/characters/209', 'https://www.anapioficeandfire.com/api/characters/210', 'https://www.anapioficeandfire.com/api/characters/212', 'https://www.anapioficeandfire.com/api/characters/216', 'https://www.anapioficeandfire.com/api/characters/232', 'https://www.anapioficeandfire.com/api/characters/259', 'https://www.anapioficeandfire.com/api/characters/324', 'https://www.anapioficeandfire.com/api/characters/339', 'https://www.anapioficeandfire.com/api/characters/340', 'https://www.anapioficeandfire.com/api/characters/349', 'https://www.anapioficeandfire.com/api/characters/351', 'https://www.anapioficeandfire.com/api/characters/354', 'https://www.anapioficeandfire.com/api/characters/389', 'https://www.anapioficeandfire.com/api/characters/461', 'https://www.anapioficeandfire.com/api/characters/561', 'https://www.anapioficeandfire.com/api/characters/583', 'https://www.anapioficeandfire.com/api/characters/584', 'https://www.anapioficeandfire.com/api/characters/589', 'https://www.anapioficeandfire.com/api/characters/591', 'https://www.anapioficeandfire.com/api/characters/593', 'https://www.anapioficeandfire.com/api/characters/603', 'https://www.anapioficeandfire.com/api/characters/648', 'https://www.anapioficeandfire.com/api/characters/668', 'https://www.anapioficeandfire.com/api/characters/716', 'https://www.anapioficeandfire.com/api/characters/737', 'https://www.anapioficeandfire.com/api/characters/777', 'https://www.anapioficeandfire.com/api/characters/887', 'https://www.anapioficeandfire.com/api/characters/891', 'https://www.anapioficeandfire.com/api/characters/911', 'https://www.anapioficeandfire.com/api/characters/912', 'https://www.anapioficeandfire.com/api/characters/916', 'https://www.anapioficeandfire.com/api/characters/917', 'https://www.anapioficeandfire.com/api/characters/918', 'https://www.anapioficeandfire.com/api/characters/957', 'https://www.anapioficeandfire.com/api/characters/1101', 'https://www.anapioficeandfire.com/api/characters/1111', 'https://www.anapioficeandfire.com/api/characters/1148', 'https://www.anapioficeandfire.com/api/characters/1158', 'https://www.anapioficeandfire.com/api/characters/1175', 'https://www.anapioficeandfire.com/api/characters/1185', 'https://www.anapioficeandfire.com/api/characters/1190', 'https://www.anapioficeandfire.com/api/characters/1254', 'https://www.anapioficeandfire.com/api/characters/1260', 'https://www.anapioficeandfire.com/api/characters/1326', 'https://www.anapioficeandfire.com/api/characters/1336', 'https://www.anapioficeandfire.com/api/characters/1383', 'https://www.anapioficeandfire.com/api/characters/1396', 'https://www.anapioficeandfire.com/api/characters/1407', 'https://www.anapioficeandfire.com/api/characters/1488', 'https://www.anapioficeandfire.com/api/characters/1489', 'https://www.anapioficeandfire.com/api/characters/1499', 'https://www.anapioficeandfire.com/api/characters/1515', 'https://www.anapioficeandfire.com/api/characters/1526', 'https://www.anapioficeandfire.com/api/characters/1565', 'https://www.anapioficeandfire.com/api/characters/1602', 'https://www.anapioficeandfire.com/api/characters/1620', 'https://www.anapioficeandfire.com/api/characters/1649', 'https://www.anapioficeandfire.com/api/characters/1650', 'https://www.anapioficeandfire.com/api/characters/1706', 'https://www.anapioficeandfire.com/api/characters/1737', 'https://www.anapioficeandfire.com/api/characters/1749', 'https://www.anapioficeandfire.com/api/characters/1787', 'https://www.anapioficeandfire.com/api/characters/1796', 'https://www.anapioficeandfire.com/api/characters/1816', 'https://www.anapioficeandfire.com/api/characters/1819', 'https://www.anapioficeandfire.com/api/characters/1843', 'https://www.anapioficeandfire.com/api/characters/1946', 'https://www.anapioficeandfire.com/api/characters/1950', 'https://www.anapioficeandfire.com/api/characters/1979', 'https://www.anapioficeandfire.com/api/characters/2019', 'https://www.anapioficeandfire.com/api/characters/2020', 'https://www.anapioficeandfire.com/api/characters/2037', 'https://www.anapioficeandfire.com/api/characters/2068', 'https://www.anapioficeandfire.com/api/characters/2089', 'https://www.anapioficeandfire.com/api/characters/2119']"
Nysterica,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],21,,,,,,,,,,,,,,,,,
Ollidor,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],22,,,,,,,,,,,,,,,,,
Osmynd,,,,['Septon'],[''],,,,[],['https://www.anapioficeandfire.com/api/books/2'],[],[''],[''],23,,,,,,,,,,,,,,,,,
Raynard,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],24,,,,,,,,,,,,,,,,,
Scolera,,,,['Septa'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],25,,,,,,,,,,,,,,,,,
Torbert,,,,['Septon'],[''],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],26,,,,,,,,,,,,,,,,,
