Name,Region,Coat of Arms,Words,Titles,Seats,Current Lord,Heir,Overlord,Founded,Founder,Died Out,Ancestral Weapons,Cadet Branches,Sworn Members,URL
House Baelish of the Fingers,The Vale,"A grey stone head with fiery eyes, on a light green field(Vert, a stone head cendrée, orbed gules)",,[''],['unnamed tower'],https://www.anapioficeandfire.com/api/characters/823,,https://www.anapioficeandfire.com/api/houses/7,,https://www.anapioficeandfire.com/api/characters/1182,,[''],['https://www.anapioficeandfire.com/api/houses/10'],"['https://www.anapioficeandfire.com/api/characters/688', 'https://www.anapioficeandfire.com/api/characters/823', 'https://www.anapioficeandfire.com/api/characters/1240', 'https://www.anapioficeandfire.com/api/characters/1249', 'https://www.anapioficeandfire.com/api/characters/1448', 'https://www.anapioficeandfire.com/api/characters/1581', 'https://www.anapioficeandfire.com/api/characters/1719', 'https://www.anapioficeandfire.com/api/characters/2052']",https://www.anapioficeandfire.com/api/houses/11
House Ball,The Reach,Three white plates upon a chevron red on a white field,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/842'],https://www.anapioficeandfire.com/api/houses/12
House Banefort of Banefort,The Westerlands,"A black hooded man, on a grey field, within a fiery tressure(Cendrée, a hooded man sable within a tressure rayonné along the outer edge gules)",,['Lord of Banefort'],['Banefort'],https://www.anapioficeandfire.com/api/characters/837,,https://www.anapioficeandfire.com/api/houses/229,,https://www.anapioficeandfire.com/api/characters/497,,[''],[],"['https://www.anapioficeandfire.com/api/characters/497', 'https://www.anapioficeandfire.com/api/characters/837']",https://www.anapioficeandfire.com/api/houses/13
House Bar Emmon of Sharp Point,The Crownlands,"Fretty argent and white, a swordfish embowed haurient azure",,['Lord of Sharp Point'],['Sharp Point'],https://www.anapioficeandfire.com/api/characters/332,,https://www.anapioficeandfire.com/api/houses/15,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/332'],https://www.anapioficeandfire.com/api/houses/14
House Baratheon of Dragonstone,The Crownlands,"Or, a heart gules enflamed proper charged with a stag's head sable crowned of the field",,"['Lord of Dragonstone', 'King of Westeros']",['Dragonstone'],https://www.anapioficeandfire.com/api/characters/1963,https://www.anapioficeandfire.com/api/characters/975,https://www.anapioficeandfire.com/api/houses/16,284 AC,https://www.anapioficeandfire.com/api/characters/1963,,[''],[],"['https://www.anapioficeandfire.com/api/characters/3', 'https://www.anapioficeandfire.com/api/characters/7', 'https://www.anapioficeandfire.com/api/characters/220', 'https://www.anapioficeandfire.com/api/characters/243', 'https://www.anapioficeandfire.com/api/characters/308', 'https://www.anapioficeandfire.com/api/characters/369', 'https://www.anapioficeandfire.com/api/characters/430', 'https://www.anapioficeandfire.com/api/characters/601', 'https://www.anapioficeandfire.com/api/characters/795', 'https://www.anapioficeandfire.com/api/characters/881', 'https://www.anapioficeandfire.com/api/characters/908', 'https://www.anapioficeandfire.com/api/characters/925', 'https://www.anapioficeandfire.com/api/characters/975', 'https://www.anapioficeandfire.com/api/characters/1285', 'https://www.anapioficeandfire.com/api/characters/1312', 'https://www.anapioficeandfire.com/api/characters/1319', 'https://www.anapioficeandfire.com/api/characters/1325', 'https://www.anapioficeandfire.com/api/characters/1467', 'https://www.anapioficeandfire.com/api/characters/1516', 'https://www.anapioficeandfire.com/api/characters/1535', 'https://www.anapioficeandfire.com/api/characters/1623', 'https://www.anapioficeandfire.com/api/characters/1680', 'https://www.anapioficeandfire.com/api/characters/1777', 'https://www.anapioficeandfire.com/api/characters/1797', 'https://www.anapioficeandfire.com/api/characters/1925', 'https://www.anapioficeandfire.com/api/characters/1935', 'https://www.anapioficeandfire.com/api/characters/2100']",https://www.anapioficeandfire.com/api/houses/15
House Baratheon of King's Landing,The Crownlands,"A black crowned stag and a gold lion, combatant, on a per pale gold and crimson field(Per pale or and gules, a stag, crowned, sable and a lion of the first combatant)",,['Lord of the Seven Kingdoms'],"[""King's Landing""]",https://www.anapioficeandfire.com/api/characters/1029,https://www.anapioficeandfire.com/api/characters/775,https://www.anapioficeandfire.com/api/houses/15,283 AC,https://www.anapioficeandfire.com/api/characters/901,,[''],[],"['https://www.anapioficeandfire.com/api/characters/355', 'https://www.anapioficeandfire.com/api/characters/775', 'https://www.anapioficeandfire.com/api/characters/1009', 'https://www.anapioficeandfire.com/api/characters/1325', 'https://www.anapioficeandfire.com/api/characters/1713', 'https://www.anapioficeandfire.com/api/characters/1782', 'https://www.anapioficeandfire.com/api/characters/1798', 'https://www.anapioficeandfire.com/api/characters/1826']",https://www.anapioficeandfire.com/api/houses/16
House Baratheon of Storm's End,The Stormlands,"A black crowned stag, on a gold field(Or, a stag salient, crowned, sable)",Ours is the Fury,"[""Lord of Storm's End"", 'Lord Paramount of the Stormlands']","[""Storm's End"", 'Dragonstone (House Baratheon of Dragonstone)']",https://www.anapioficeandfire.com/api/characters/1029,https://www.anapioficeandfire.com/api/characters/775,https://www.anapioficeandfire.com/api/houses/16,1 AC,https://www.anapioficeandfire.com/api/characters/797,,[''],"['https://www.anapioficeandfire.com/api/houses/15', 'https://www.anapioficeandfire.com/api/houses/16', 'https://www.anapioficeandfire.com/api/houses/33', 'https://www.anapioficeandfire.com/api/houses/423']","['https://www.anapioficeandfire.com/api/characters/110', 'https://www.anapioficeandfire.com/api/characters/128', 'https://www.anapioficeandfire.com/api/characters/216', 'https://www.anapioficeandfire.com/api/characters/230', 'https://www.anapioficeandfire.com/api/characters/249', 'https://www.anapioficeandfire.com/api/characters/315', 'https://www.anapioficeandfire.com/api/characters/435', 'https://www.anapioficeandfire.com/api/characters/679', 'https://www.anapioficeandfire.com/api/characters/794', 'https://www.anapioficeandfire.com/api/characters/797', 'https://www.anapioficeandfire.com/api/characters/862', 'https://www.anapioficeandfire.com/api/characters/870', 'https://www.anapioficeandfire.com/api/characters/986', 'https://www.anapioficeandfire.com/api/characters/1044', 'https://www.anapioficeandfire.com/api/characters/1188', 'https://www.anapioficeandfire.com/api/characters/1233', 'https://www.anapioficeandfire.com/api/characters/1355', 'https://www.anapioficeandfire.com/api/characters/1473', 'https://www.anapioficeandfire.com/api/characters/1552']",https://www.anapioficeandfire.com/api/houses/17
House Beesbury of Honeyholt,The Reach,"Paly or and sable, on a pale of the last three beehives of the first",Beware our Sting,[''],['Honeyholt'],https://www.anapioficeandfire.com/api/characters/1103,,https://www.anapioficeandfire.com/api/houses/195,,https://www.anapioficeandfire.com/api/characters/366,,[''],[],"['https://www.anapioficeandfire.com/api/characters/94', 'https://www.anapioficeandfire.com/api/characters/187', 'https://www.anapioficeandfire.com/api/characters/193', 'https://www.anapioficeandfire.com/api/characters/366', 'https://www.anapioficeandfire.com/api/characters/509', 'https://www.anapioficeandfire.com/api/characters/513', 'https://www.anapioficeandfire.com/api/characters/549', 'https://www.anapioficeandfire.com/api/characters/671', 'https://www.anapioficeandfire.com/api/characters/1103']",https://www.anapioficeandfire.com/api/houses/18
House Belmore of Strongsong,The Vale,"Six silver bells, 3, 2, 1, on a purple field(Purpure, six bells, 3, 2, 1, argent)",,['Lord of Strongsong'],['Strongsong'],https://www.anapioficeandfire.com/api/characters/176,,https://www.anapioficeandfire.com/api/houses/7,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/176', 'https://www.anapioficeandfire.com/api/characters/727']",https://www.anapioficeandfire.com/api/houses/19
House Bettley,The Westerlands,"Three blue beetles, on a gold field(Or, three beetles azure)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/573'],https://www.anapioficeandfire.com/api/houses/20
House Bigglestone,The Riverlands,,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/21
House Blackbar of Bandallon,The Reach,"Argent, a fess sable",,['Lord of Bandallon'],['Bandallon'],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/621'],https://www.anapioficeandfire.com/api/houses/22
House Blackfyre of King's Landing,,"Gules, a three headed dragon breathing flames sable",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/378,184 AC,https://www.anapioficeandfire.com/api/characters/267,260 AC,['Blackfyre'],[],"['https://www.anapioficeandfire.com/api/characters/8', 'https://www.anapioficeandfire.com/api/characters/35', 'https://www.anapioficeandfire.com/api/characters/47', 'https://www.anapioficeandfire.com/api/characters/50', 'https://www.anapioficeandfire.com/api/characters/83', 'https://www.anapioficeandfire.com/api/characters/226', 'https://www.anapioficeandfire.com/api/characters/267', 'https://www.anapioficeandfire.com/api/characters/268', 'https://www.anapioficeandfire.com/api/characters/697', 'https://www.anapioficeandfire.com/api/characters/920', 'https://www.anapioficeandfire.com/api/characters/1462', 'https://www.anapioficeandfire.com/api/characters/2021']",https://www.anapioficeandfire.com/api/houses/23
House Blackmont of Blackmont,Dorne,"A black vulture with a pink infant in its claws, on yellow",,[''],['Blackmont'],https://www.anapioficeandfire.com/api/characters/1607,https://www.anapioficeandfire.com/api/characters/1574,https://www.anapioficeandfire.com/api/houses/285,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/1574', 'https://www.anapioficeandfire.com/api/characters/1607', 'https://www.anapioficeandfire.com/api/characters/1810']",https://www.anapioficeandfire.com/api/houses/24
House Blackmyre,The Neck,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/318,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/25
House Blacktyde of Blacktyde,Iron Islands,Vairy vert and sable,,['Lord of Blacktyde'],['Blacktyde'],,,https://www.anapioficeandfire.com/api/houses/169,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/158', 'https://www.anapioficeandfire.com/api/characters/191']",https://www.anapioficeandfire.com/api/houses/26
House Blackwood of Raventree Hall,The Riverlands,"A flock of ravens surrounding a black shield charged with a dead weirwood, on a scarlet field(Gules, on an escutcheon sable a dead weirwood tree proper, all within an orle of ravens volant sable)",,['Lord of Raventree'],['Raventree Hall'],https://www.anapioficeandfire.com/api/characters/2045,https://www.anapioficeandfire.com/api/characters/1241,https://www.anapioficeandfire.com/api/houses/10,Age of Heroes,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/108', 'https://www.anapioficeandfire.com/api/characters/195', 'https://www.anapioficeandfire.com/api/characters/737', 'https://www.anapioficeandfire.com/api/characters/744', 'https://www.anapioficeandfire.com/api/characters/843', 'https://www.anapioficeandfire.com/api/characters/1241', 'https://www.anapioficeandfire.com/api/characters/1640', 'https://www.anapioficeandfire.com/api/characters/2045']",https://www.anapioficeandfire.com/api/houses/27
House Blanetree,The Riverlands,"Green and brown maple leaves, strewn across a yellow field(Or, semé of maple leaves vert and tenné)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/395,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1135'],https://www.anapioficeandfire.com/api/houses/28
House Blount,The Crownlands,"A red bend sinister between two black porcupines, on a green field(Vert, a bend sinister gules between two porcupines sable)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/202'],https://www.anapioficeandfire.com/api/houses/29
House Boggs,The North,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/318,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/30
House Boggs of Crackclaw Point,The Crownlands,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1726'],https://www.anapioficeandfire.com/api/houses/31
House Bole,The North,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/150,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/32
House Bolling,The Stormlands,"Vairy orange and blue, upon a black canton, a golden stag beneath an orange bend sinister(Vairy tenné and azure, on a canton sable a stag or debruised by a bend sinister of the first)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/491'],https://www.anapioficeandfire.com/api/houses/33
House Bolton of the Dreadfort,The North,A red flayed man on pink de sang,Our Blades are Sharp,"['Red King (Age of Heroes)', 'Lord of the Dreadfort', 'Warden of the North']",['The Dreadfort'],https://www.anapioficeandfire.com/api/characters/933,https://www.anapioficeandfire.com/api/characters/849,https://www.anapioficeandfire.com/api/houses/16,Age of Heroes,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/196', 'https://www.anapioficeandfire.com/api/characters/314', 'https://www.anapioficeandfire.com/api/characters/849', 'https://www.anapioficeandfire.com/api/characters/933', 'https://www.anapioficeandfire.com/api/characters/1084', 'https://www.anapioficeandfire.com/api/characters/1159', 'https://www.anapioficeandfire.com/api/characters/1208', 'https://www.anapioficeandfire.com/api/characters/1313', 'https://www.anapioficeandfire.com/api/characters/1329', 'https://www.anapioficeandfire.com/api/characters/1452', 'https://www.anapioficeandfire.com/api/characters/1492', 'https://www.anapioficeandfire.com/api/characters/1648', 'https://www.anapioficeandfire.com/api/characters/1747', 'https://www.anapioficeandfire.com/api/characters/1949', 'https://www.anapioficeandfire.com/api/characters/2077']",https://www.anapioficeandfire.com/api/houses/34
House Borrell of Sweetsister,The Vale,"A white spider crab, on a grey-green field(Vert-cendrée, a spider crab argent)",,['Lord of Sweetsister'],['Breakwater in Sisterton'],https://www.anapioficeandfire.com/api/characters/429,,https://www.anapioficeandfire.com/api/houses/370,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/429'],https://www.anapioficeandfire.com/api/houses/35
House Botley of Lordsport,Iron Islands,"Vert, semy of fishes argent",,['Lord of Lordsport'],['Lordsport'],https://www.anapioficeandfire.com/api/characters/419,,https://www.anapioficeandfire.com/api/houses/169,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/163', 'https://www.anapioficeandfire.com/api/characters/185', 'https://www.anapioficeandfire.com/api/characters/419', 'https://www.anapioficeandfire.com/api/characters/468', 'https://www.anapioficeandfire.com/api/characters/474', 'https://www.anapioficeandfire.com/api/characters/661', 'https://www.anapioficeandfire.com/api/characters/717', 'https://www.anapioficeandfire.com/api/characters/835', 'https://www.anapioficeandfire.com/api/characters/958', 'https://www.anapioficeandfire.com/api/characters/961', 'https://www.anapioficeandfire.com/api/characters/1003', 'https://www.anapioficeandfire.com/api/characters/1039', 'https://www.anapioficeandfire.com/api/characters/1071', 'https://www.anapioficeandfire.com/api/characters/2097']",https://www.anapioficeandfire.com/api/houses/36
House Bracken of Stone Hedge,The Riverlands,"A red stallion upon a gold shield, on a brown field(Tenné, on an escutcheon or a stallion rampant gules)",,[''],['Stone Hedge'],https://www.anapioficeandfire.com/api/characters/1559,,https://www.anapioficeandfire.com/api/houses/10,Age of Heroes,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/47', 'https://www.anapioficeandfire.com/api/characters/165', 'https://www.anapioficeandfire.com/api/characters/197', 'https://www.anapioficeandfire.com/api/characters/807', 'https://www.anapioficeandfire.com/api/characters/1160', 'https://www.anapioficeandfire.com/api/characters/1187', 'https://www.anapioficeandfire.com/api/characters/1212', 'https://www.anapioficeandfire.com/api/characters/1259', 'https://www.anapioficeandfire.com/api/characters/1496', 'https://www.anapioficeandfire.com/api/characters/1537', 'https://www.anapioficeandfire.com/api/characters/1559', 'https://www.anapioficeandfire.com/api/characters/1596', 'https://www.anapioficeandfire.com/api/characters/1624', 'https://www.anapioficeandfire.com/api/characters/1710']",https://www.anapioficeandfire.com/api/houses/37
House Branch,The North,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/150,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/38
House Branfield,The North,,,[''],['exiles living at Ironrath'],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/39
House Brax of Hornvale,The Westerlands,"A purple unicorn, on a silver field(Argent, a unicorn rampant purpure)",,[''],['Hornvale'],https://www.anapioficeandfire.com/api/characters/1055,https://www.anapioficeandfire.com/api/characters/393,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/120', 'https://www.anapioficeandfire.com/api/characters/236', 'https://www.anapioficeandfire.com/api/characters/393', 'https://www.anapioficeandfire.com/api/characters/574', 'https://www.anapioficeandfire.com/api/characters/765', 'https://www.anapioficeandfire.com/api/characters/896', 'https://www.anapioficeandfire.com/api/characters/897', 'https://www.anapioficeandfire.com/api/characters/941', 'https://www.anapioficeandfire.com/api/characters/1055', 'https://www.anapioficeandfire.com/api/characters/1088']",https://www.anapioficeandfire.com/api/houses/40
House Breakstone,The Vale,A red sledge,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/41
House Briar,Dorne,,,['High King of Dorne'],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/42
House Bridges,The Reach,A black stone bridge with three arches upon a golden chief above three blue pallets on white,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/43
House Brightstone,The Vale,,,['King of the Fingers'],[''],,,,,,Andal invasion,[''],[],[],https://www.anapioficeandfire.com/api/houses/44
House Brook,Dorne,,,['High King of Dorne'],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/45
House Broom,The Westerlands,"A silver helm crested with a sprig of broom, on a checkered black and green field(Chequy sable and vert, a helm argent, crested with a sprig of broom proper)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/177'],https://www.anapioficeandfire.com/api/houses/46
House Brownhill,Dorne,,,['High King of Dorne'],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/47
House Brune of Brownhollow,The Crownlands,"Argent, a bear's paw erased within a double tressure tenné",,['The Knight of Brownhollow'],['Brownhollow'],https://www.anapioficeandfire.com/api/characters/184,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/184', 'https://www.anapioficeandfire.com/api/characters/651']",https://www.anapioficeandfire.com/api/houses/48
House Brune of the Dyre Den,The Crownlands,,,['Lord of the Dyre Den'],['The Dyre Den'],https://www.anapioficeandfire.com/api/characters/1380,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],['https://www.anapioficeandfire.com/api/houses/48'],['https://www.anapioficeandfire.com/api/characters/1380'],https://www.anapioficeandfire.com/api/houses/49
House Buckler of Bronzegate,The Stormlands,"Three brass buckles, on a blue field(Azure, three buckles or)",,[''],['Bronzegate'],https://www.anapioficeandfire.com/api/characters/848,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/234', 'https://www.anapioficeandfire.com/api/characters/848']",https://www.anapioficeandfire.com/api/houses/50
House Buckwell of the Antlers,The Crownlands,"A rack of golden antlers, on a field of vair(Vair, a stag's attire or)",Pride and Purpose,['Lord of the Antlers'],['the Antlers'],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/537'],https://www.anapioficeandfire.com/api/houses/51
House Bulwer of Blackcrown,The Reach,"Sanguine, a bull`s skull argent",Death Before Disgrace,[''],['Blackcrown'],https://www.anapioficeandfire.com/api/characters/100,,https://www.anapioficeandfire.com/api/houses/195,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/100', 'https://www.anapioficeandfire.com/api/characters/224', 'https://www.anapioficeandfire.com/api/characters/575']",https://www.anapioficeandfire.com/api/houses/52
House Burley,The North,"White, upon a pile azure a knife white",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/34,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/53
House Bushy,The Reach,A green fess embattled on white,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/174'],https://www.anapioficeandfire.com/api/houses/54
House Butterwell,The Riverlands,"Barry wavy green, white, and yellow(Barry wavy vert, argent, and or)",,[''],['formerly Whitewalls'],,,https://www.anapioficeandfire.com/api/houses/10,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/113', 'https://www.anapioficeandfire.com/api/characters/1167', 'https://www.anapioficeandfire.com/api/characters/1287', 'https://www.anapioficeandfire.com/api/characters/2021', 'https://www.anapioficeandfire.com/api/characters/2054']",https://www.anapioficeandfire.com/api/houses/55
House Byrch,The Crownlands,"Gryonny white and black quartered with a silver axe on a green field(Quarterly, first and fourth, gyronny argent and sable, second and third, vert, an axe palewise argent)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/162', 'https://www.anapioficeandfire.com/api/characters/392']",https://www.anapioficeandfire.com/api/houses/56
House Bywater,The Crownlands,"Blue frets on a white field, three silver fish on a blue chief(Argent fretty azure, on a chief of the second three fish of the field)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/16,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/523'],https://www.anapioficeandfire.com/api/houses/57
House Cafferen of Fawnton,The Stormlands,"Two white fawns counter salient, on a green field(Vert, two fawns counter-salient argent)",,[''],['Fawnton'],,,https://www.anapioficeandfire.com/api/houses/17,,,,[''],[],['https://www.anapioficeandfire.com/api/characters/1252'],https://www.anapioficeandfire.com/api/houses/58
House Cargyll,The Crownlands,"Bendy sinister sable and gules, a goose Or",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/378,,,after 209 AC,[''],[],[],https://www.anapioficeandfire.com/api/houses/59
House Caron of Nightsong,The Stormlands,"A field of black nightingales on yellow(Or, semé of nightingales sable)",No Song so Sweet,"['Lord of the Marches', 'Lord of Nightsong']",['Nightsong'],https://www.anapioficeandfire.com/api/characters/925,,https://www.anapioficeandfire.com/api/houses/15,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/220', 'https://www.anapioficeandfire.com/api/characters/221', 'https://www.anapioficeandfire.com/api/characters/769', 'https://www.anapioficeandfire.com/api/characters/816', 'https://www.anapioficeandfire.com/api/characters/925']",https://www.anapioficeandfire.com/api/houses/60
House Cassel,The North,"Ten white wolf heads, 4-3-2-1, on grey with a black border",,[''],[''],https://www.anapioficeandfire.com/api/characters/194,,https://www.anapioficeandfire.com/api/houses/362,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/194', 'https://www.anapioficeandfire.com/api/characters/595', 'https://www.anapioficeandfire.com/api/characters/724', 'https://www.anapioficeandfire.com/api/characters/912']",https://www.anapioficeandfire.com/api/houses/61
House Casterly of Casterly Rock,The Westerlands,,,['Lord of Casterly Rock'],['Casterly Rock'],,,,Age of Heroes,https://www.anapioficeandfire.com/api/characters/1286,,[''],['https://www.anapioficeandfire.com/api/houses/229'],['https://www.anapioficeandfire.com/api/characters/1286'],https://www.anapioficeandfire.com/api/houses/62
