name,male,origin,isMarried,isNoble,popularity,isAlive,season,episode,deaths,episode_num
Wynafryd Manderly,0,House Stark,0,0,0.0568561872909698,1,0,,,0
Xhondo,1,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
Ygon Farwynd,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
Yna,1,Peasant,0,0,0.020066889632107,1,0,,,0
Yohn Farwynd,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
Yorkel,0,House Targaryen,0,0,0.0,1,0,,,0
Yorko Terys,1,Foreign Peasant,0,0,0.0234113712374581,1,0,,,0
Yormwell,0,Outlaw,0,1,0.0033444816053511,1,0,,,0
Young Henly,1,Night's Watch,0,0,0.0133779264214046,0,3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment"".",22
Ysilla,0,House Bolton,1,0,0.040133779264214,1,0,,,0
Zarabelo,0,House Frey,0,1,0.0066889632107023,1,0,,,0
Zei,0,House Arryn,0,0,0.0133779264214046,1,0,,,0
Zekko,1,Dothraki,0,0,0.0133779264214046,1,0,,,0
Zharaq zo Loraq,1,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
Wenda,0,Outlaw,0,0,0.0167224080267558,1,0,,,0
Wex Pyke,1,House Greyjoy,0,0,0.113712374581939,1,0,,,0
Timett,1,Outlaw,0,1,0.0735785953177257,1,0,,,0
Joffrey Baratheon,1,House Baratheon,0,0,1.0,0,8,The Iron Throne,King/Prince Joffrey I Baratheon - 11 (Deceased),72
Laenor Velaryon,1,Foreign Noble,1,1,0.193979933110367,0,3,Valar Dohaeris,Wight - Burned alive by Lord Commander Jeor Mormont with a torch.,21
Leobald Tallhart,1,House Stark,1,1,0.110367892976588,0,8,The Bells,Unnamed Northern Soldier - Stabbed in the stomach by Jon Snow using Longclaw.,71
Maegor I Targaryen,1,House Targaryen,0,0,0.705685618729097,0,1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Margaery Tyrell,0,House Tyrell,1,1,1.0,0,6,The Winds of Winter,Queen Margaery Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.,60
Naerys Targaryen,0,House Targaryen,1,1,0.220735785953177,0,8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.,69
Quence,0,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
Quellon Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
Quellon Greyjoy,1,House Greyjoy,1,1,0.0903010033444816,0,8,The Long Night,Qhono (Wight) - Died when Arya Stark killed the Night King.,69
Quentyn Blackwood,0,House Tully,0,1,0.020066889632107,0,2,Blackwater,Unnamed Baratheon Soldier - Shot in the eye by Bronn with an arrow using a bow.,19
Quenton Greyjoy,1,House Greyjoy,0,0,0.060200668896321,1,0,,,0
Quhuru Mo,1,Foreign Peasant,0,0,0.040133779264214,1,0,,,0
Quickfinger,1,House Targaryen,0,0,0.0100334448160535,1,0,,,0
Quill,1,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
Quentin Tyrell,0,House Tyrell,0,1,0.127090301003344,1,0,,,0
Quort,1,Wildling,0,0,0.0100334448160535,0,1,Baelor,Qotho - Slashed across the face by Ser Jorah Mormont with a sword.,9
Qyle,1,House Martell,0,0,0.0133779264214046,0,7,The Queen's Justice,Unnamed Lannister Soldier - Fell to his death after being thrown from Casterly Rock by an unknown Unsullied.,63
Rafe,0,Dothraki,0,0,0.0066889632107023,1,0,,,0
Racallio Ryndoon,1,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
Ragnor Pyke,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
Rainbow Knight,0,House Arryn,0,0,0.0033444816053511,1,0,,,0
Randa,0,House Bolton,0,0,0.0033444816053511,1,0,,,0
Rast,1,Night's Watch,0,0,0.0668896321070234,0,8,The Iron Throne,Rast (Night's Watch) - 1 (Deceased),72
Rawney,1,Soldier,0,1,0.0100334448160535,1,0,,,0
Raymar Royce,1,House Arryn,0,1,0.0133779264214046,1,0,,,0
Raymond Nayland,0,House Frey,0,1,0.0167224080267558,1,0,,,0
Raymund Tyrell,0,House Tyrell,0,0,0.127090301003344,1,0,,,0
Red Oarsman,0,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
Red Lamb,1,Foreign Noble,0,1,0.0,1,0,,,0
Redtusk,1,Wildling,0,1,0.0167224080267558,1,0,,,0
Red Rolfe,1,House Greyjoy,0,0,0.0133779264214046,0,2,The Night Lands,"Rodrik Greyjoy - Died in an unspecified manner off-screen, mentioned.",12
Redwyn,0,Night's Watch,0,0,0.0066889632107023,1,0,,,0
Reynard Webber,0,House Greyjoy,0,1,0.0066889632107023,1,0,,,0
Reysen,1,Outlaw,0,0,0.0234113712374581,1,0,,,0
Rhaegel Targaryen,1,House Targaryen,1,1,0.0969899665551839,0,1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned.",10
Rhaena Targaryen (daughter of Daemon),0,House Targaryen,1,1,0.1438127090301,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Rhaena Targaryen (daughter of Aegon III),0,House Targaryen,0,1,0.0735785953177257,0,3,And Now His Watch Is Ended,"Queen Rhaenyra Targaryen - Burned alive and consumed by dragon on the orders of King Aegon II Targaryen off-screen, mentioned.",24
Rhaenys Targaryen,0,House Targaryen,1,1,0.277591973244147,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Rhaenys Targaryen (daughter of Rhaegar),0,House Targaryen,0,1,0.244147157190635,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Rhialta Vance,0,House Tully,0,0,0.0167224080267558,1,0,,,0
Rhaenys Targaryen (daughter of Aemon),0,House Targaryen,1,1,0.1438127090301,0,1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Rhonda Rowan,0,House Tyrell,1,0,0.0501672240802675,1,0,,,0
Richard Farrow,0,Noble,0,1,0.0167224080267558,0,2,Valar Morghulis,"Farlen - Killed by unknown Bolton soldiers off-screen, body shown.",20
Richard Lonmouth,1,Noble,0,1,0.0234113712374581,1,0,,,0
Rigney,1,Wildling,0,1,0.0033444816053511,1,0,,,0
Rob,1,House Tyrell,0,0,0.0033444816053511,1,0,,,0
Rickard Tyrell,1,House Tyrell,0,0,0.123745819397993,1,0,,,0
Robb Reyne,1,House Lannister,0,1,0.0066889632107023,1,0,,,0
Robert Ashford,1,House Tyrell,0,1,0.0234113712374581,1,0,,,0
Robert Brax (son of Flement),1,House Lannister,0,0,0.120401337792642,1,0,,,0
Robert Paege,0,House Frey,0,1,0.0100334448160535,1,0,,,0
Robb Stark,1,House Stark,0,0,1.0,0,8,The Iron Throne,King/Lord Robb Stark - 8 (Deceased),72
Robin,1,Night's Watch,0,0,0.0167224080267558,1,0,,,0
Robert Frey (son of Raymund),1,House Frey,0,0,0.147157190635451,1,0,,,0
Robin Greyjoy,1,House Greyjoy,0,0,0.0635451505016722,1,0,,,0
Robin Hollard,1,House Baratheon,0,0,0.0267558528428093,1,0,,,0
Rodrik Freeborn,1,House Greyjoy,0,0,0.0133779264214046,1,0,,,0
Roelle,0,House Baratheon,0,0,0.0,1,0,,,0
Rodrik Stark (son of Beron),1,House Stark,1,0,0.100334448160535,1,0,,,0
Roger of Pennytree,1,Wildling,0,0,0.0301003344481605,0,4,The Lion and the Rose,Two Pigeons - Accidentally decapitated by King Joffrey I Baratheon with Widow's Wail.,32
Roggo,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
Roger Ryswell,1,House Stark,0,0,0.0468227424749163,1,0,,,0
Rolder,1,House Lannister,0,0,0.0,1,0,,,0
Roland Crakehall (Kingsguard),1,House Lannister,0,1,0.020066889632107,1,0,,,0
Rolfe,1,House Tully,0,0,0.0033444816053511,1,0,,,0
Rolland Darklyn,1,House Targaryen,0,1,0.0100334448160535,1,0,,,0
Rollam Westerling,1,House Lannister,0,0,0.0434782608695652,1,0,,,0
Romny Weaver,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
Ronald Storm,1,Noble,0,0,0.040133779264214,1,0,,,0
Ronnel Stout,0,House Stark,0,0,0.0334448160535117,1,0,,,0
Ronnel Harclay,0,Noble,0,0,0.0133779264214046,1,0,,,0
Roone,1,Night's Watch,0,0,0.040133779264214,1,0,,,0
Roone (maester),1,Night's Watch,0,1,0.0100334448160535,1,0,,,0
Roryn Drumm,0,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
Roose Ryswell,1,House Stark,0,0,0.0301003344481605,1,0,,,0
Rosamund Lannister,0,House Lannister,0,0,0.0234113712374581,1,0,,,0
Rosey,0,House Baratheon,0,0,0.0301003344481605,1,0,,,0
Rowan,1,Wildling,0,0,0.060200668896321,0,7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.,61
Rudge,0,Night's Watch,0,0,0.0,1,0,,,0
Runciter,1,Outlaw,0,1,0.244147157190635,0,5,Hardhome,Lord of Bones/Rattleshirt - Beaten to death by Tormund Giantsbane with a staff.,48
Rupert Crabb,0,Noble,0,1,0.0066889632107023,1,0,,,0
Rus,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
Rusty Flowers,1,Night's Watch,0,0,0.0,1,0,,,0
Ryam,1,Noble,0,1,0.0133779264214046,1,0,,,0
Ryk,1,Wildling,1,0,0.0267558528428093,1,0,,,0
Ryles,0,Night's Watch,0,0,0.0133779264214046,0,7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.,61
Rymolf,0,House Greyjoy,0,0,0.0,1,0,,,0
S'vrone,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
Saathos,0,House Baratheon,0,0,0.0033444816053511,1,0,,,0
Sailor's Wife,0,Peasant,0,0,0.0468227424749163,1,0,,,0
Sallor,1,Outlaw,0,0,0.0301003344481605,0,7,Dragonstone,"Sally - Throat slit by an unknown farmer with a knife off-screen, body shown.",61
Salloreon,1,Peasant,0,0,0.0133779264214046,1,0,,,0
Sam Stoops,1,House Tyrell,0,0,0.0033444816053511,1,0,,,0
Samwell Spicer,1,Noble,0,1,0.0133779264214046,1,0,,,0
Sargon Botley,1,House Greyjoy,0,0,0.0535117056856187,1,0,,,0
Scarb,0,House Martell,0,0,0.0066889632107023,1,0,,,0
Sawwood,1,Night's Watch,0,0,0.0100334448160535,1,0,,,0
Sedgekins,0,Peasant,0,0,0.0,1,0,,,0
Sefton Staunton,1,Noble,0,0,0.0301003344481605,1,0,,,0
Serra,0,Foreign Noble,1,0,0.0167224080267558,1,0,,,0
Sharna,0,House Tyrell,1,0,0.0367892976588628,1,0,,,0
Shella,0,Wildling,0,0,0.0033444816053511,1,0,,,0
Sherrit,0,Night's Watch,0,1,0.0033444816053511,1,0,,,0
Shortear,0,House Lannister,0,0,0.0133779264214046,1,0,,,0
Shyra,0,House Stark,0,0,0.020066889632107,1,0,,,0
Sigfry Stonetree,1,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
Sigrin,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
Simon Leygood,0,Noble,0,1,0.0033444816053511,1,0,,,0
Sky Blue Su,0,Wildling,0,0,0.0,1,0,,,0
Skinner,1,House Bolton,0,0,0.0334448160535117,1,0,,,0
Skittrick,0,House Stark,0,0,0.0066889632107023,1,0,,,0
Skyte,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
Sloey,0,Foreign Peasant,0,0,0.0167224080267558,1,0,,,0
Spare Boot,1,Night's Watch,0,0,0.0133779264214046,1,0,,,0
Softfoot,1,Night's Watch,0,0,0.020066889632107,0,5,Hardhome,"40 Oysters - Died in an unspecified manner off-screen, bodies shown.",48
Spotted Pate of Maidenpool,1,Night's Watch,0,0,0.0133779264214046,0,6,The Broken Man,"Lady Maege Mormont - Died of unknown causes during the War of the Five Kings off-screen, mentioned.",57
Squint,0,House Greyjoy,0,0,0.0033444816053511,0,4,Two Swords,"Rabbit - Shot in the eye by Ygritte with an arrow off-screen, mentioned.",31
Squirrel,0,Wildling,0,0,0.0434782608695652,0,2,The North Remembers,The Silver (Horse) - Died of starvation and dehydration.,11
Steffarion Sparr,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
Stafford Lannister,1,House Lannister,1,1,0.170568561872909,0,7,The Spoils of War,"Unnamed Lannister Soldier - Stabbed in the chest by an unknown Dothraki with a sword off-screen, body shown.",64
Steffon Fossoway,1,House Tyrell,0,1,0.040133779264214,1,0,,,0
Steffon Hollard,0,House Baratheon,0,1,0.0267558528428093,1,0,,,0
Stannis Baratheon,1,House Baratheon,0,0,1.0,0,8,The Iron Throne,King Stannis Baratheon - 11 (Deceased),72
Steffon Varner,1,Noble,0,1,0.0133779264214046,1,0,,,0
Stone Thumbs,0,Wildling,0,0,0.0033444816053511,0,4,The Watchers on the Wall,Styr - Hit in the head by Jon Snow with a hammer.,39
Stonehand,0,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
Sybassion,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
Sylas,0,House Greyjoy,0,0,0.0066889632107023,0,1,The Wolf and the Lion,Wyl - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.,5
Symon Stripeback,1,House Targaryen,0,0,0.0434782608695652,1,0,,,0
Symond Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
Tagganaro,1,Foreign Peasant,0,0,0.0301003344481605,1,0,,,0
Tal Toraq,1,House Targaryen,0,0,0.0234113712374581,1,0,,,0
Talea,0,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
Talla Tarly,1,House Tyrell,0,0,0.0702341137123745,1,0,,,0
Tansy,0,Peasant,0,0,0.0234113712374581,0,4,The Lion and the Rose,Tansy - Mauled by the bastard's girls on the orders of Lord Ramsay Snow.,32
Tansy (orphan),0,Night's Watch,0,0,0.0066889632107023,1,0,,,0
Tarber,1,Peasant,0,0,0.0334448160535117,1,0,,,0
Terrance Lynderly,0,House Arryn,0,0,0.0167224080267558,1,0,,,0
Terro,1,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
Theo Frey,1,House Frey,0,1,0.0133779264214046,1,0,,,0
Theobald,1,House Arryn,0,1,0.020066889632107,1,0,,,0
Thistle,0,Wildling,0,0,0.0167224080267558,0,8,The Iron Throne,Ser Alliser Thorne - 3 (Deceased),72
Theon Stark,1,House Stark,0,0,0.0568561872909698,1,0,,,0
Thormor Ironmaker,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
Tim Stone,0,Night's Watch,0,0,0.0167224080267558,1,0,,,0
Timon,0,Night's Watch,0,1,0.0066889632107023,1,0,,,0
Timett (father),0,Outlaw,0,0,0.0133779264214046,1,0,,,0
Timoth,1,House Martell,0,0,0.0066889632107023,1,0,,,0
Tobbot,0,House Lannister,0,0,0.0100334448160535,1,0,,,0
Toefinger,1,Wildling,0,0,0.0066889632107023,1,0,,,0
Todric,1,Peasant,0,0,0.0167224080267558,0,3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment"".",22
Tom Costayne,0,House Tyrell,0,1,0.0066889632107023,1,0,,,0
TomToo,0,House Stark,0,0,0.0133779264214046,1,0,,,0
Tommard Heddle,1,Noble,0,1,0.0468227424749163,0,5,Hardhome,Lord of Bones/Rattleshirt - Beaten to death by Tormund Giantsbane with a staff.,48
Toregg,1,Wildling,0,0,0.0267558528428093,1,0,,,0
Torrek,0,Outlaw,0,0,0.0,1,0,,,0
Tothmure,1,House Stark,0,1,0.0133779264214046,0,7,Beyond the Wall,Thoros of Myr - Froze to death after being injured by a wight snow bear.,66
Torrhen Stark,1,House Stark,0,0,0.0903010033444816,1,0,,,0
Tregar,0,House Lannister,0,0,0.0066889632107023,0,2,The Night Lands,"Eddison Tollett's Mother - Died in an unspecified manner off-screen, mentioned.",12
Tregar Ormollen,1,Foreign Peasant,0,0,0.0234113712374581,1,0,,,0
Tristan Ryger,0,House Frey,0,0,0.0066889632107023,1,0,,,0
Tristifer V Mudd,1,Wildling,0,0,0.0167224080267558,1,0,,,0
Tristimun,1,Noble,0,1,0.0,1,0,,,0
Tristifer IV Mudd,1,Foreign Noble,0,0,0.0535117056856187,0,4,The Mountain and the Viper,Mully - Killed by unknown Free Folk off-screen.,38
Tuffleberry,0,Dothraki,0,0,0.0033444816053511,1,0,,,0
Tumberjon,0,Night's Watch,0,0,0.0100334448160535,1,0,,,0
Tumco Lho,1,Foreign Peasant,0,1,0.0301003344481605,1,0,,,0
Turnip,0,House Stark,0,0,0.0167224080267558,1,0,,,0
Turquin,1,Foreign Noble,0,1,0.0033444816053511,1,0,,,0
Tybero Istarion,1,Outlaw,0,0,0.0133779264214046,1,0,,,0
Tymor,1,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
Ulf the Ill,0,House Greyjoy,0,0,0.0133779264214046,0,6,Battle of the Bastards,Unnamed Northern Soldier - Slashed by Lord Smalljon Umber with a sword.,59
Tywin Frey (son of Raymund),1,House Frey,0,0,0.133779264214046,1,0,,,0
Uller,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
Umar,0,Outlaw,0,0,0.0066889632107023,1,0,,,0
Umfred,0,Noble,0,0,0.0033444816053511,1,0,,,0
Umma,0,Outlaw,0,0,0.0167224080267558,1,0,,,0
Urreg,0,Soldier,0,0,0.0100334448160535,1,0,,,0
Urek Ironmaker,1,House Greyjoy,0,0,0.0167224080267558,1,0,,,0
Urrathon,0,Foreign Peasant,0,0,0.0133779264214046,1,0,,,0
Urzen,1,House Greyjoy,0,0,0.020066889632107,1,0,,,0
Urron Greyiron,1,House Greyjoy,0,0,0.040133779264214,1,0,,,0
Urrigon Greyjoy,1,House Greyjoy,0,0,0.0735785953177257,1,0,,,0
Uthor Underleaf,1,Foreign Peasant,0,1,0.0501672240802675,0,3,Mhysa,"Urzen - Flayed alive by Lord Ramsay Snow off-screen, mentioned.",30
Utt,1,Outlaw,0,0,0.0234113712374581,0,8,The Iron Throne,Othell Yarwyck - 1 (Deceased),72
Vaellyn,1,Foreign Noble,0,1,0.0133779264214046,1,0,,,0
Varly,0,House Stark,0,0,0.0167224080267558,0,1,You Win or You Die,Varly - Killed by unknown City Watch knights.,7
Veiled Lady,0,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
Vickon Botley,1,House Greyjoy,0,0,0.0468227424749163,1,0,,,0
Violet,0,Soldier,0,0,0.0,1,0,,,0
Victor Tyrell,0,House Tyrell,0,1,0.123745819397993,1,0,,,0
Walda Frey (daughter of Lothar),0,House Frey,0,0,0.0869565217391304,1,0,,,0
Walda Frey (daughter of Edwyn),0,House Frey,0,0,0.103678929765886,1,0,,,0
Walda Frey (daughter of Rhaegar),0,House Frey,0,0,0.0,1,0,,,0
Walda Frey (daughter of Walton),0,House Frey,0,0,0.0,1,0,,,0
Walda Frey (daughter of Merrett),0,House Frey,1,0,0.0,1,0,,,0
Walda Rivers (daughter of Aemon),0,House Frey,0,0,0.0267558528428093,1,0,,,0
Walder Frey (son of Jammos),1,House Frey,0,0,0.0,1,0,,,0
Walder Frey (son of Emmon),0,House Frey,0,0,0.0,1,0,,,0
Walder Frey (son of Ryman),1,House Frey,0,0,0.0,1,0,,,0
Walder Frey (son of Merrett),1,House Frey,0,0,0.0,0,8,The Long Night,Lord Beric Dondarrion (Wight) - Died when Arya Stark killed the Night King.,69
Wallen,0,Night's Watch,0,0,0.020066889632107,0,4,The Watchers on the Wall,"Grenn - Killed by Mag Mar Tun Doh Weg off-screen, body shown.",39
Walton,1,House Bolton,0,0,0.0468227424749163,1,0,,,0
Walys Flowers,1,House Tyrell,0,1,0.0234113712374581,0,6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown.",60
Wat (Barleycorn),1,House Tyrell,0,0,0.0066889632107023,1,0,,,0
Blue Bard,1,House Tyrell,0,0,0.0535117056856187,1,0,,,0
Wat (orphan),0,Peasant,0,0,0.0033444816053511,1,0,,,0
Wat (sailor),0,Outlaw,0,0,0.0066889632107023,1,0,,,0
Wat (Standfast),0,House Tyrell,0,0,0.0033444816053511,1,0,,,0
Wat (Wet),1,House Tyrell,0,0,0.0066889632107023,1,0,,,0
Wate,0,House Targaryen,0,0,0.0,1,0,,,0
Watt,1,Night's Watch,0,0,0.0167224080267558,0,6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown.",60
Wayn (guard),1,House Stark,0,0,0.0100334448160535,1,0,,,0
Weasel,1,Night's Watch,0,0,0.0167224080267558,1,0,,,0
Wendell Webber,1,House Greyjoy,0,1,0.0133779264214046,1,0,,,0
Wendello Qar Deeth,0,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
Werlag,0,House Greyjoy,0,0,0.0066889632107023,1,0,,,0
Rafford,1,House Lannister,0,0,0.0969899665551839,0,3,And Now His Watch Is Ended,Lord Commander Jeor Mormont - Died of his injuries after being stabbed in the back by Rast.,24
Jhogo,0,House Targaryen,0,0,0.20066889632107,1,0,,,0
Sour Alyn,1,House Bolton,0,0,0.0434782608695652,1,0,,,0
Tobho Mott,1,Foreign Peasant,0,0,0.0836120401337792,1,0,,,0
Zollo,1,Dothraki,0,0,0.0367892976588628,1,0,,,0
Tanda Stokeworth,0,House Lannister,0,1,0.113712374581939,0,4,The Watchers on the Wall,Unnamed Member of the Night's Watch - Shot in the stomach by Dongo with an arrow using a bow.,39
Samwell Tarly,1,Night's Watch,0,0,0.969899665551839,1,0,,,0
Abelar Hightower,1,House Tyrell,0,1,0.0,1,0,,,0
Addam Frey,1,House Frey,0,1,0.0267558528428093,1,0,,,0
Addam,1,Outlaw,0,1,0.0066889632107023,1,0,,,0
Addam Osgrey,1,House Tyrell,0,0,0.0367892976588628,0,7,Stormborn,"Archmaester Pylos - Died after being infected with greyscale off-screen, mentioned.",62
Aegon Frey (son of Aenys),1,House Frey,0,0,0.0,1,0,,,0
Aegon Frey (son of Stevron),1,House Frey,0,0,0.0,0,7,Dragonstone,Ser Stevron Frey - Poisoned by Arya Stark.,61
Aegon I Targaryen,1,House Targaryen,0,0,1.0,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
Aegon II Targaryen,1,House Targaryen,0,0,0.759197324414715,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
Aegon IV Targaryen,1,House Targaryen,0,0,0.675585284280936,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
Aegon Targaryen (son of Baelon),1,House Targaryen,0,1,0.0,1,0,,,0
Aegon III Targaryen,1,Foreign Peasant,0,0,0.625418060200668,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
Aegon Targaryen (son of Jaehaerys I),0,House Targaryen,0,1,0.0,0,1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned.",9
Aegon Targaryen (son of Aenys I),1,House Targaryen,1,1,0.0,0,8,The Iron Throne,King Aegon II Targaryen - 1 (Deceased),72
Aegon Targaryen (son of Rhaegar),1,House Targaryen,0,0,0.0,0,5,Sons of the Harpy,Unnamed Member of The Sons of the Harpy - Beaten to death by Grey Worm with a shield.,44
Aemon Costayne,1,House Tyrell,0,0,0.0100334448160535,1,0,,,0
Aenys I Targaryen,1,House Targaryen,0,0,0.57190635451505,0,8,The Iron Throne,King Aerys II Targaryen/Mad King - 3 (Deceased),72
Aethan,0,Night's Watch,0,0,0.0100334448160535,1,0,,,0
Aethelmure,0,Noble,0,1,0.0133779264214046,1,0,,,0
Aggar,1,House Greyjoy,0,0,0.0267558528428093,0,1,You Win or You Die,"Stag - Killed by an unknown person off-screen, body shown.",7
Agrivane,0,Outlaw,0,1,0.0066889632107023,1,0,,,0
Aerys I Targaryen,1,House Targaryen,0,0,0.622073578595317,0,8,The Iron Throne,King Aerys II Targaryen/Mad King - 3 (Deceased),72
