,name,male,origin,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,popularity,isAlive,episode_global_num
152,Sherrit,0,,0,0,1,0,0,0,1,0,0,0.0033444816053511,1.0,
158,Sky Blue Su,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
185,Tansy (orphan),0,,0,0,0,1,0,0,0,0,0,0.0066889632107023,1.0,
186,Tarber,1,,0,1,0,0,0,0,0,0,0,0.0334448160535117,1.0,
190,Theobald,1,,0,0,0,1,0,0,1,0,0,0.020066889632107,1.0,
195,Timon,0,,0,1,1,0,0,0,1,0,0,0.0066889632107023,1.0,
200,Todric,1,,0,1,0,0,0,0,0,0,0,0.0167224080267558,0.0,
206,Tothmure,1,,0,1,0,0,0,0,1,0,0,0.0133779264214046,0.0,
211,Tristifer V Mudd,1,,0,0,0,0,0,0,0,0,0,0.0167224080267558,1.0,
213,Tristifer IV Mudd,1,,0,0,0,0,0,0,0,0,0,0.0535117056856187,0.0,
214,Tuffleberry,0,,0,1,0,0,0,0,0,0,0,0.0033444816053511,1.0,
218,Turquin,1,,0,0,1,0,0,0,1,0,0,0.0033444816053511,1.0,
227,Urreg,0,,0,1,0,0,0,0,0,0,0,0.0100334448160535,1.0,
233,Uthor Underleaf,1,,0,0,0,0,0,0,1,0,0,0.0501672240802675,0.0,
235,Vaellyn,1,,0,0,0,1,0,0,1,0,0,0.0133779264214046,1.0,
239,Violet,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
256,Wat (orphan),0,,0,0,0,1,0,0,0,0,0,0.0033444816053511,1.0,
257,Wat (sailor),0,,0,0,0,1,0,0,0,0,0,0.0066889632107023,1.0,
263,Weasel,1,,0,1,0,0,0,0,0,0,0,0.0167224080267558,1.0,
276,Addam,1,,0,0,0,0,0,0,1,0,0,0.0066889632107023,1.0,
291,Aethelmure,0,,1,0,0,0,0,0,1,0,0,0.0133779264214046,1.0,
293,Agrivane,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
295,Alaric of Eysen,0,,0,0,1,1,0,0,0,0,0,0.0167224080267558,1.0,
300,Alia,0,,0,0,0,0,0,0,0,0,0,0.0,1.0,
301,All-for-Joffrey,1,,0,1,0,0,0,0,0,0,0,0.0066889632107023,0.0,
305,Alyce,1,,0,0,1,1,0,0,0,0,0,0.0066889632107023,1.0,
319,Armen,1,,0,0,0,1,0,0,0,0,0,0.0301003344481605,1.0,
320,Arneld,1,,0,1,0,0,0,0,1,0,0,0.0033444816053511,1.0,
322,Arrec Durrandon,1,,0,0,0,0,0,0,0,0,0,0.0,1.0,
335,Barre,1,,0,1,0,0,0,0,0,0,0,0.0133779264214046,1.0,
341,Beck,1,,0,0,1,0,0,0,1,0,0,0.0,1.0,
343,Beldecar,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
346,Bella,0,,0,0,1,1,0,0,0,0,0,0.0836120401337792,1.0,
347,Ben,1,,0,0,0,1,0,0,0,0,0,0.0100334448160535,1.0,
351,Benedict,0,,0,0,0,1,0,0,1,0,0,0.0133779264214046,1.0,
354,Bennet,0,,0,0,0,1,0,0,0,0,0,0.0066889632107023,1.0,
358,Beron Blacktyde,0,,0,0,0,1,1,0,0,0,0,0.0167224080267558,1.0,
360,Bessa,1,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
364,Bethany Fair-Fingers,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
373,Boy,1,,0,0,1,1,0,0,0,0,0,0.0100334448160535,1.0,
390,Buu,0,,1,0,0,0,0,0,0,0,0,0.0,1.0,
393,Byren Flowers,1,,0,0,0,0,0,0,1,0,0,0.0066889632107023,1.0,
401,Cass,0,,0,0,1,1,0,0,0,0,0,0.0167224080267558,1.0,
403,Castos,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
409,Cetheres,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
412,Chiggen,1,,1,0,0,0,0,0,0,0,0,0.0167224080267558,0.0,
416,Clement,1,,0,0,0,1,0,0,1,0,0,0.0133779264214046,1.0,
427,Cutjack,1,,0,1,0,0,0,0,0,0,0,0.0334448160535117,1.0,
434,Daeryssa,0,,1,0,0,0,0,0,1,0,0,0.0066889632107023,1.0,
449,Denestan,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
458,Dobber,1,,0,1,0,0,0,0,0,0,0,0.0267558528428093,0.0,
464,Donyse,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
470,Dudley,1,,0,0,1,0,0,0,1,0,0,0.0,1.0,
491,Emma,0,,0,0,0,1,0,0,0,0,0,0.0167224080267558,1.0,
494,Endehar,0,,0,1,0,0,0,0,0,0,0,0.0,1.0,
498,Erreck,1,,0,0,1,0,0,0,1,0,0,0.0033444816053511,1.0,
502,Esgred,1,,0,1,0,0,0,0,0,0,0,0.0,1.0,
508,Fern,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
510,Ferret,0,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
515,Frynne,0,,0,0,0,1,0,0,0,0,0,0.0,1.0,
517,Galladon of Morne,1,,0,0,0,0,0,0,1,0,0,0.0,1.0,
518,Gallard,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
520,Galtry the Green,1,,0,0,0,0,0,0,1,0,0,0.0133779264214046,1.0,
521,Galyeon of Cuy,1,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
522,Gareth the Grey,1,,0,0,0,0,0,0,1,0,0,0.0033444816053511,1.0,
524,Garizon,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
527,Garth XII Gardener,0,,0,0,0,0,0,0,0,0,0,0.0133779264214046,1.0,
532,Gerren,0,,0,1,0,0,0,0,0,0,0,0.0167224080267558,1.0,
535,Gillam,1,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
537,Glendon Flowers,1,,0,0,0,0,0,0,1,0,0,0.0802675585284281,0.0,
545,Green Gergen,1,,0,0,0,0,0,0,0,0,0,0.0,1.0,
553,Gulian,0,,0,0,0,1,0,0,1,0,0,0.0033444816053511,1.0,
556,Guyne,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
566,Gyles III Gardener,1,,0,0,0,0,0,0,0,0,0,0.020066889632107,1.0,
573,Hamish the Harper,0,,0,0,1,1,1,0,0,0,0,0.020066889632107,0.0,
583,Harodon,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
591,Harsley,1,,0,0,1,0,1,0,0,0,0,0.0033444816053511,0.0,
592,Harwyn Hoare,1,,0,0,0,0,0,0,0,0,0,0.100334448160535,1.0,
597,Helliweg,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
598,Helly,0,,0,0,1,1,0,0,0,0,0,0.0133779264214046,1.0,
605,Hibald,1,,0,0,0,1,0,0,0,0,0,0.0133779264214046,1.0,
607,Hod,1,,0,1,0,0,0,0,0,0,0,0.0033444816053511,1.0,
613,Hunnimore,0,,0,0,0,0,0,0,1,0,0,0.0,1.0,
614,Husband,1,,0,0,1,1,0,1,0,0,0,0.0434782608695652,1.0,
615,Illifer,1,,0,0,0,1,0,0,1,0,0,0.040133779264214,1.0,
616,Ironbelly,1,,0,1,1,0,0,0,0,0,0,0.0100334448160535,1.0,
623,Jate,0,,0,0,0,1,0,0,0,0,0,0.0,0.0,
649,Jon Pox,1,,0,0,0,1,0,0,0,0,0,0.0167224080267558,1.0,
650,Jon Vance,1,,0,0,0,1,0,0,1,0,0,0.0234113712374581,1.0,
653,Jon Waters,1,,0,0,0,1,0,0,1,0,0,0.0769230769230769,0.0,
656,Joseran,0,,0,0,0,1,0,0,1,0,0,0.0033444816053511,1.0,
659,Joss,1,,1,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
661,Joth Quickbow,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
663,Jurne,0,,0,1,1,1,0,0,1,0,0,0.0133779264214046,1.0,
666,Jyzene,0,,0,0,1,1,0,0,0,0,0,0.0133779264214046,1.0,
672,Kirby Pimm,1,,0,0,0,0,0,0,1,0,0,0.0,1.0,
675,Koss,1,,0,1,0,0,0,0,0,0,0,0.0367892976588628,0.0,
677,Kurz,1,,0,1,0,0,0,0,0,0,0,0.0367892976588628,0.0,
678,Kyle,1,,0,0,0,0,0,0,1,0,0,0.0267558528428093,1.0,
682,Kym,0,,0,1,0,0,0,0,1,0,0,0.0,1.0,
685,Lanna,0,,0,0,1,1,0,0,0,0,0,0.020066889632107,1.0,
688,Layna,0,,0,1,0,0,0,0,0,0,0,0.0234113712374581,1.0,
691,Lennocks,1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
706,Lister,1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
708,Lorcas,1,,0,0,0,1,0,0,0,0,0,0.0100334448160535,1.0,
711,Lorren,1,,0,1,0,0,0,0,0,0,0,0.0234113712374581,0.0,
712,Lothar,1,,0,0,0,0,0,0,1,0,0,0.0,1.0,
717,Lucantine Woodwright,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
723,Lucos,1,,0,0,0,1,0,0,0,0,0,0.0066889632107023,1.0,
738,Maerie (Goodwife),0,,0,0,1,0,0,0,1,0,0,0.0033444816053511,1.0,
739,Maerie (Whore),0,,0,0,1,0,0,0,0,0,0,0.0033444816053511,0.0,
740,Maggy,1,,0,0,1,1,0,0,0,0,0,0.0568561872909698,1.0,
741,Malcolm,0,,0,1,0,0,0,0,1,0,0,0.0066889632107023,1.0,
742,Malleon,1,,1,0,0,0,0,0,1,0,0,0.0167224080267558,1.0,
744,Mallor (Knight),1,,0,0,0,0,0,0,1,0,0,0.0,1.0,
759,Matt,1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
760,Maynard,1,,0,0,1,1,0,0,1,0,0,0.0133779264214046,1.0,
763,Mebble,1,,0,1,0,0,0,0,0,0,0,0.0066889632107023,1.0,
766,Meizo Mahr,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
767,Melaquin,0,,0,0,0,0,0,0,1,0,0,0.0,1.0,
769,Meliana,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
770,Melicent,0,,0,0,0,1,0,0,0,0,0,0.0033444816053511,1.0,
773,Mellos,1,,0,0,0,0,0,0,1,0,0,0.237458193979933,1.0,
780,Mollander,1,,0,0,0,1,0,0,0,0,0,0.0367892976588628,1.0,
781,Mollos,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
783,Moreo Tumitis,1,,1,0,0,0,0,0,0,0,0,0.0100334448160535,1.0,
793,Mudge (miller),1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
797,Murch,1,,0,1,0,0,0,0,0,0,0,0.0100334448160535,1.0,
803,Narbert,0,,0,0,0,1,0,0,1,0,0,0.0267558528428093,1.0,
806,Ned (ferryman),1,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
809,Nissa Nissa,1,,0,1,0,0,0,1,0,0,0,0.020066889632107,1.0,
810,Nightingale,0,,0,0,0,1,0,0,0,0,0,0.0167224080267558,1.0,
811,Nolla,0,,0,0,1,0,0,0,1,0,0,0.0,1.0,
813,Norren,1,,0,0,0,1,0,0,1,0,0,0.0167224080267558,1.0,
814,Nymos,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
816,Ocley,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
818,Old Crackbones,1,,0,0,0,1,0,0,0,0,0,0.0,1.0,
827,Ormond (knight),0,,0,0,0,0,0,0,1,0,0,0.0,0.0,
836,Otter Gimpknee,0,,0,1,1,0,0,0,0,0,0,0.0066889632107023,1.0,
837,Ottomore,1,,0,0,0,1,0,0,0,0,0,0.0066889632107023,1.0,
838,Owen (brother of Meribald),1,,0,0,0,1,0,0,0,0,0,0.0133779264214046,1.0,
842,Pate (Old),1,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
843,Pate (Mory),1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
844,Pate (Lancewood),1,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
845,Pate (Pinchbottom),0,,0,0,0,0,0,0,0,0,0,0.0033444816053511,0.0,
847,Pate (Shermer's Grove),1,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
849,Penny Jenny,0,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
859,Portifer Woodwright,0,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
862,Praed,1,,0,1,0,0,0,0,0,0,0,0.0167224080267558,0.0,
864,Pudding,0,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
872,Qos,1,,1,0,0,0,0,0,1,0,0,0.0033444816053511,1.0,
955,Chayle,1,,1,1,1,0,0,0,0,0,0,0.0635451505016722,0.0,
1038,Frenken,0,,0,1,1,1,1,0,1,0,0,0.0434782608695652,1.0,
1144,Kaeth,1,,0,0,1,1,0,0,1,0,0,0.260869565217391,0.0,
1230,Melwys Rivers,0,,0,1,1,1,1,0,1,0,0,0.0234113712374581,1.0,
1260,Nysterica,0,,0,0,1,1,1,0,0,0,0,0.0267558528428093,1.0,
1269,Omer Florent,0,,0,1,1,1,0,0,1,0,0,0.0702341137123745,1.0,
1336,Rugen,1,,1,0,1,1,0,0,1,0,0,0.0234113712374581,1.0,
1489,Creighton Longbough,1,,0,0,0,1,0,0,1,0,0,0.0468227424749163,1.0,
1490,Cressen,1,,0,1,1,1,0,0,1,0,0,0.183946488294314,0.0,
1497,Ebrose,1,,0,0,0,1,0,0,1,0,0,0.0167224080267558,1.0,
1507,Ghost of High Heart,0,,0,0,1,1,1,0,0,0,0,0.0869565217391304,1.0,
1546,Mag Mar Tun Doh Weg,1,,0,0,1,1,1,0,0,0,0,0.040133779264214,0.0,
1550,Marillion,1,,1,1,1,1,0,0,0,0,0,0.1438127090301,0.0,
1552,Marwyn,1,,1,0,1,1,0,0,1,0,0,0.160535117056856,1.0,
1553,Masha Heddle,0,,1,1,0,0,0,0,0,0,0,0.040133779264214,0.0,
1569,Murenmure,1,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
1582,Orwyle,1,,0,0,0,0,0,0,1,0,0,0.254180602006688,1.0,
1600,Pylos,1,,0,1,1,1,1,0,1,0,0,0.0568561872909698,1.0,
1635,Arlan of Pennytree,1,,0,0,0,0,0,0,1,0,0,0.103678929765886,0.0,
1658,Beric Dondarrion,1,,1,1,1,1,1,0,1,0,0,0.434782608695652,0.0,24.0
1659,Beric Dondarrion,1,,1,1,1,1,1,0,1,0,0,0.434782608695652,0.0,70.0
1729,Hot Pie,0,,0,1,1,1,0,0,0,0,0,0.183946488294314,1.0,
1749,Kedry,1,,0,0,0,1,1,0,1,0,0,0.0301003344481605,0.0,
1753,Lady of the Leaves,0,,0,0,1,1,0,0,1,0,0,0.020066889632107,1.0,
1757,Lomys,1,,1,1,1,1,1,0,1,0,0,0.0234113712374581,1.0,
1823,Steely Pate,1,,0,0,0,0,0,0,0,0,0,0.0133779264214046,1.0,
1831,Varys,1,,1,1,1,1,1,0,1,0,0,0.899665551839464,0.0,72.0
1836,Tysha,1,,1,1,1,0,1,1,0,1,1,0.130434782608695,1.0,
1837,Shae,0,,1,1,1,1,1,0,0,0,0,0.290969899665551,0.0,40.0
1866,Vyman,0,,1,1,1,1,1,0,1,0,0,0.040133779264214,1.0,
1938,Symon Silver Tongue,1,,0,1,1,0,1,0,0,0,0,0.0468227424749163,0.0,
1944,Symeon Star-Eyes,1,,1,1,1,1,1,0,0,0,0,0.0301003344481605,1.0,
