,allegiance,killer,killers_house,location,method,name,episode_global_num,weights_simple
67,House Lannister,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,13,0.8026079136690647
68,House Lannister,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,13,0.8026079136690647
69,House Lannister,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,13,0.8026079136690647
70,House Lannister,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,13,0.8026079136690647
71,Night's Watch,Amory Lorch,House Lannister,Riverlands,Sword,Yoren,13,0.9995503597122303
72,Night's Watch,Lannister soldier,House Lannister,Riverlands,Spear,Night's Watch recruit,13,0.9995503597122303
73,Smallfolk,Polliver,House Baratheon of King's Landing,Riverlands,Sword,Lommy Greenhands,13,0.9995503597122303
74,House Lannister,Grey Wind,House Stark,Oxcross,Teeth,Rennick,14,0.9995503597122303
75,House Lannister,Grey Wind,House Stark,Oxcross,Teeth,Lannister soldier,14,0.8026079136690647
76,None,The Tickler,House Clegane,Harrenhal,Rat,Prisoner,14,0.9982014388489209
77,House Baratheon of Storm's End,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Storm's End,Shadow Demon,Renly Baratheon,15,0.9995503597122303
78,House Baratheon of Storm's End,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,15,0.9991007194244603
79,House Baratheon of Storm's End,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,15,0.9991007194244603
80,House Clegane,Jaqen H'ghar,Faceless Men,Harrenhal,Unknown,The Tickler,15,0.9995503597122303
81,House Stark,Theon Greyjoy,House Bolton,Winterfell,Sword,Rodrik Cassel,16,0.9995503597122303
82,Free Folk,Night's Watch brother,Night's Watch,Beyond the Wall,Arrow,Wildling,16,0.9523381294964028
83,Free Folk,Qhorin Halfhand,Night's Watch,Beyond the Wall,Sword,Wildling,16,0.9523381294964028
84,Faith of the Seven,Peasants,None,King's Landing,Hands,High Septon,16,0.9995503597122303
85,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,16,0.9838129496402879
86,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,16,0.9838129496402879
87,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,16,0.9838129496402879
88,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,16,0.9838129496402879
89,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,16,0.9838129496402879
90,House Lannister,Jaqen H'ghar,Faceless Men,Harrenhal,Poison dart,Amory Lorch,16,0.9995503597122303
91,House Greyjoy,Osha,House Stark,Winterfell,Knife,Drennan,16,0.9995503597122303
92,House Targaryen,Unknown,Unknown,Qarth,Unknown,Irri,16,0.9995503597122303
93,House Lannister,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Alton Lannister,17,0.9995503597122303
94,House Stark,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Torrhen Karstark,17,0.9995503597122303
95,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Spice King,17,0.9995503597122303
96,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Silk King,17,0.9995503597122303
97,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Copper King,17,0.9995503597122303
98,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
99,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
100,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
101,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
102,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
103,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
104,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
105,The Thirteen,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,17,0.9964028776978416
106,Smallfolk,Theon Greyjoy,House Bolton,Winterfell,Fire,Billy,17,0.9995503597122303
107,Smallfolk,Theon Greyjoy,House Bolton,Winterfell,Fire,Jack,17,0.9995503597122303
108,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Matthos Seaworth,19,0.9995503597122303
109,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
110,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
111,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
112,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
113,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
114,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
115,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
116,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
117,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
118,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
119,House Baratheon of Dragonstone,Accident,Unknown,King's Landing,Blunt object,Baratheon of Dragonstone soldier,19,0.9739208633093526
120,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
121,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,19,0.9739208633093526
122,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
123,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
124,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
125,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
126,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
127,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
128,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
129,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
130,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
131,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
132,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
133,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
134,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
135,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
136,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
137,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
138,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
139,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
140,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
141,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
142,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,19,0.9739208633093526
143,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,19,0.9919064748201438
144,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,19,0.9919064748201438
145,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,19,0.9919064748201438
146,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,19,0.9919064748201438
147,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,19,0.9919064748201438
148,House Baratheon of Dragonstone,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
149,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
150,House Baratheon of Dragonstone,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
151,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
152,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,19,0.9919064748201438
153,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Hands,Baratheon of King's Landing soldier,19,0.9919064748201438
154,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
155,House Baratheon of Dragonstone,Bronn,House Lannister,King's Landing,Knife,Baratheon of Dragonstone soldier,19,0.9739208633093526
156,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Fire,Baratheon of Dragonstone soldier,19,0.9739208633093526
157,House Baratheon of King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,19,0.9919064748201438
158,House Baratheon of King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,19,0.9919064748201438
159,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,19,0.9739208633093526
160,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,19,0.9739208633093526
161,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,19,0.9919064748201438
162,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,19,0.9919064748201438
163,House Baratheon of Dragonstone,Tyrion Lannister,House Lannister,King's Landing,Axe,Baratheon of Dragonstone soldier,19,0.9739208633093526
164,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
165,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,19,0.9739208633093526
166,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
167,House Baratheon of King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,19,0.9919064748201438
168,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Bludgeon,Baratheon of King's Landing soldier,19,0.9919064748201438
169,House Baratheon of King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,19,0.9919064748201438
170,House Moore,Podrick Payne,House Lannister,King's Landing,Spear,Mandon Moore,19,0.9995503597122303
171,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,19,0.9919064748201438
172,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,19,0.9739208633093526
173,House Baratheon of Dragonstone,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
174,House Baratheon of Dragonstone,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
175,House Baratheon of Dragonstone,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
176,House Baratheon of Dragonstone,Lannister soldier,House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
177,House Baratheon of Dragonstone,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,19,0.9739208633093526
178,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
179,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,19,0.9739208633093526
180,House Stark,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,20,0.9793165467625898
181,House Stark,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,20,0.9793165467625898
182,House Stark,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,20,0.9793165467625898
183,House Stark,Osha,House Stark,Winterfell,Knife,Maester Luwin,20,0.9995503597122303
184,Warlocks of Qarth,Daenerys Targaryen,House Targaryen,Qarth,Dragonfire (Dragon),Pyat Pree,20,0.9995503597122303
185,Night's Watch,Jon Snow,House Stark,Beyond the Wall,Sword,Qhorin Halfhand,20,0.9995503597122303
186,The Thirteen,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Xaro Xhoan Daxos,20,0.9995503597122303
187,House Targaryen,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Doreah,20,0.9995503597122303
188,None,Barristan Selmy,House Targaryen,Astapor,Knife,Manticore,21,0.9995503597122303
189,House Tully,None,None,Riverrun,Illness,Hoster Tully,22,0.9995503597122303
190,House Bolton,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,23,0.9721223021582733
191,House Bolton,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,23,0.9721223021582733
192,House Bolton,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,23,0.9721223021582733
193,House Bolton,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,23,0.9721223021582733
194,Night's Watch,None,None,Beyond the Wall,Broken foot,Bannen,24,0.9995503597122303
195,Night's Watch,Karl Tanner,Night's Watch,Beyond the Wall,Knife,Craster,24,0.9995503597122303
196,Night's Watch,Rast,Night's Watch,Beyond the Wall,Knife,Jeor Mormont,24,0.9995503597122303
197,Brotherhood Without Banners,"Sandor ""the Hound"" Clegane",House Clegane,Hollow Hill,Sword,Beric Dondarrion,24,0.9991007194244603
198,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,24,0.9986510791366906
199,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,24,0.9986510791366906
200,Good Masters,Daenerys Targaryen,House Targaryen,Astapor,Dragonfire (Dragon),Kraznys mo Nakloz,24,0.9995503597122303
201,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,24,0.9986510791366906
202,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,24,0.9986510791366906
203,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,24,0.9986510791366906
204,Good Masters,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,24,0.9986510791366906
205,House Stark,Karstark soldier,House Karstark,Riverrun,Sword,Stark soldier,25,0.9793165467625898
206,House Lannister,Karstark soldier,House Karstark,Riverrun,Unknown,Willem Lannister,25,0.9995503597122303
207,House Lannister,Rickard Karstark,House Stark,Riverrun,Knife,Martyn Lannister,25,0.9995503597122303
208,House Stark,Robb Stark,House Stark,Riverrun,Sword,Rickard Karstark,25,0.9995503597122303
209,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
210,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
211,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
212,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
213,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
214,Free Folk,None,None,The Wall,Falling,Wildling,26,0.9523381294964028
215,House Baelish,Joffrey Baratheon,House Lannister,King's Landing,Arrow,Ros,26,0.9995503597122303
216,None,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,28,0.9986510791366906
217,None,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,28,0.9986510791366906
218,None,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,28,0.9986510791366906
219,Second Sons,Daario Naharis,House Targaryen,Yunkai,Unknown,Mero,28,0.9995503597122303
220,Second Sons,Daario Naharis,House Targaryen,Yunkai,Unknown,Prendahl na Ghezn,28,0.9995503597122303
221,None,Sam Tarly,Night's Watch,Beyond the Wall,Dragonglass,White Walker,28,0.9995503597122303
222,Night's Watch,Ygritte,Free Folk,The Gift,Arrow,Horse breeder,29,0.9995503597122303
223,Free Folk,Jon Snow,House Stark,The Gift,Sword,Wildling,29,0.9523381294964028
224,Free Folk,Summer,House Stark,The Gift,Teeth,Wildling,29,0.9523381294964028
225,Free Folk,Shaggydog,House Stark,The Gift,Teeth,Wildling,29,0.9523381294964028
226,Free Folk,Jon Snow,House Stark,The Gift,Sword,Orell,29,0.9995503597122303
227,Wise Masters,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,29,0.9950539568345325
228,Wise Masters,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,29,0.9950539568345325
229,Wise Masters,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,29,0.9950539568345325
230,Wise Masters,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,29,0.9950539568345325
231,Wise Masters,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,29,0.9950539568345325
232,Wise Masters,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,29,0.9950539568345325
233,Wise Masters,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,29,0.9950539568345325
234,Wise Masters,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,29,0.9950539568345325
